location,pm25,pm10,co2,timestamp
Worli,184.89,411.12,307.35,2024-11-25 01:13:07
Marine Drive,318.33,397.82,717.96,2024-11-25 01:13:12
Bhayandar,94.49,105.14,4387.79,2024-11-25 01:13:17
Andheri,36.19,66.97,4326.02,2024-11-25 01:13:22
Sion,336.5,443.58,2204.08,2024-11-25 01:13:27
Mulund,33.28,119.55,4693.25,2024-11-25 01:13:32
Saki Naka,177.41,145.46,2938.95,2024-11-25 01:13:37
Santacruz,217.26,159.56,4710.4,2024-11-25 01:13:42
Nariman Point,202.88,258.88,522.93,2024-11-25 01:13:47
Bandra,131.76,118.2,2379.77,2024-11-25 01:13:52
Marine Drive,371.95,339.42,830.05,2024-11-25 01:13:57
Mulund,285.0,90.15,737.84,2024-11-25 01:14:02
Malad,78.36,484.89,3338.38,2024-11-25 01:14:07
Colaba,355.6,248.86,1883.5,2024-11-25 01:14:12
Santacruz,444.15,58.9,4097.91,2024-11-25 01:14:17
Nariman Point,116.5,65.35,1413.98,2024-11-25 01:14:22
Kurla,35.77,146.54,2540.45,2024-11-25 01:15:07
Jogeshwari,373.15,83.79,4397.38,2024-11-25 01:15:12
Mulund,25.49,360.63,2331.84,2024-11-25 01:15:17
Santacruz,29.02,347.68,2140.08,2024-11-25 01:15:22
Prabhadevi,247.07,131.87,4681.62,2024-11-25 01:15:27
Bhayandar,89.55,51.49,3150.69,2024-11-25 01:15:32
Bandra,499.35,474.8,485.57,2024-11-25 01:15:37
Vile Parle,198.12,295.69,4832.24,2024-11-25 01:15:42
Parel,492.07,51.3,2608.15,2024-11-25 01:15:47
Jogeshwari,218.65,276.62,3343.57,2024-11-25 01:15:52
Dahisar,387.98,133.87,4455.49,2024-11-25 01:15:57
Thane,176.57,65.79,1737.67,2024-11-25 01:16:02
Nariman Point,432.98,257.88,3588.67,2024-11-25 01:16:07
Worli,458.54,30.83,4205.18,2024-11-25 01:16:12
Marine Drive,187.51,75.66,2238.08,2024-11-25 01:16:17
Vashi,113.86,220.85,387.47,2024-11-25 01:16:22
Jogeshwari,309.21,185.17,3843.44,2024-11-25 01:16:27
Khar,421.06,384.92,2916.82,2024-11-25 01:16:32
Worli,271.55,298.71,4897.57,2024-11-25 01:16:37
Mahalaxmi,330.99,239.37,1300.05,2024-11-25 01:16:42
Nariman Point,425.03,24.25,1845.57,2024-11-25 01:16:47
Kandivali East,98.08,476.86,3710.73,2024-11-25 01:16:52
Kandivali,320.02,361.98,4803.85,2024-11-25 01:16:57
Nariman Point,304.88,101.14,2835.64,2024-11-25 01:17:02
Dadar,94.34,340.38,2544.45,2024-11-25 01:17:07
Dahisar,149.35,129.68,4668.65,2024-11-25 01:17:12
Saki Naka,297.01,219.77,1091.43,2024-11-25 01:17:17
Chembur,255.51,314.65,1162.49,2024-11-25 01:17:22
Malad,485.95,27.86,318.02,2024-11-25 01:17:27
Sion,462.98,218.39,1743.0,2024-11-25 01:17:32
Andheri,295.6,46.0,3487.58,2024-11-25 01:17:37
Kurla,272.57,278.25,4147.4,2024-11-25 01:17:42
Khar,447.29,275.76,583.39,2024-11-25 01:17:47
Sion,360.32,460.39,1539.25,2024-11-25 01:17:52
Santacruz,62.52,378.14,2954.69,2024-11-25 01:17:57
Versova,473.06,178.6,3425.61,2024-11-25 01:18:02
Sion,434.88,433.35,3855.1,2024-11-25 01:18:07
Vile Parle,95.06,153.05,3043.07,2024-11-25 01:18:12
Nariman Point,489.3,420.94,2569.74,2024-11-25 01:18:17
Kandivali East,252.04,478.93,1374.16,2024-11-25 01:18:22
Malad,83.66,349.36,2096.87,2024-11-25 01:18:27
Chembur,292.24,114.03,1374.62,2024-11-25 01:18:32
Sion,91.95,163.1,2167.59,2024-11-25 01:18:37
Sion,199.64,461.83,781.19,2024-11-25 01:18:42
Borivali,100.05,423.78,1208.98,2024-11-25 01:18:47
Kandivali East,377.09,292.84,1170.31,2024-11-25 01:18:52
Bhayandar,367.72,369.81,2435.91,2024-11-25 01:18:57
Matunga,395.38,487.26,4530.77,2024-11-25 01:19:02
Vashi,487.65,264.93,1049.67,2024-11-25 01:19:07
Mulund,385.63,193.94,2578.56,2024-11-25 01:19:12
Sion,445.5,198.84,3519.46,2024-11-25 01:19:17
Parel,93.61,108.79,2398.95,2024-11-25 01:19:22
Dadar,279.42,98.46,304.36,2024-11-25 01:19:27
Parel,179.67,37.71,3376.96,2024-11-25 01:19:32
Mahalaxmi,109.18,138.29,1730.3,2024-11-25 01:19:37
Dadar,242.52,67.91,2583.12,2024-11-25 01:19:42
Ghatkopar,19.87,2.45,2875.57,2024-11-25 01:19:47
Saki Naka,189.48,167.91,1899.28,2024-11-25 01:19:52
Bandra,426.99,177.9,925.5,2024-11-25 01:19:57
Marine Drive,196.92,467.95,3846.18,2024-11-25 01:20:02
Nariman Point,111.48,232.74,4747.52,2024-11-25 01:20:07
Worli,394.1,493.49,3496.17,2024-11-25 01:20:12
Vile Parle,340.36,427.36,4433.18,2024-11-25 01:20:17
Malad,463.12,213.6,4468.11,2024-11-25 01:20:22
Mulund,293.33,46.51,3507.94,2024-11-25 01:20:27
Nariman Point,306.85,293.44,2679.23,2024-11-25 01:20:32
Versova,255.4,391.63,2212.17,2024-11-25 01:20:37
Kandivali,39.99,368.08,441.64,2024-11-25 01:20:42
Malad,260.37,244.48,4050.98,2024-11-25 01:20:47
Prabhadevi,320.32,368.1,541.68,2024-11-25 01:20:52
Malad,112.28,300.6,4926.28,2024-11-25 01:20:57
Bhayandar,379.41,153.99,1989.31,2024-11-25 01:21:02
Colaba,272.39,98.71,665.33,2024-11-25 01:21:07
Jogeshwari,106.19,67.29,2406.43,2024-11-25 01:21:12
Andheri,197.37,383.09,2934.65,2024-11-25 01:21:17
Bhayandar,429.98,135.08,2439.41,2024-11-25 01:21:22
Bandra,251.7,175.55,2912.31,2024-11-25 01:21:27
Matunga,320.55,95.63,4502.52,2024-11-25 01:21:32
Kandivali West,278.93,171.64,2114.39,2024-11-25 01:21:37
Nariman Point,32.78,79.07,3758.06,2024-11-25 01:21:42
Matunga,137.67,226.07,1471.56,2024-11-25 01:21:47
Thane,395.97,171.3,2864.84,2024-11-25 01:21:52
Nariman Point,382.31,370.26,3300.16,2024-11-25 01:21:57
Kandivali West,380.98,437.48,1996.41,2024-11-25 01:22:02
Jogeshwari,462.01,355.29,2726.2,2024-11-25 01:22:07
Dadar,249.29,369.6,332.13,2024-11-25 01:22:12
Versova,181.08,92.7,2267.03,2024-11-25 01:22:17
Nariman Point,284.57,200.06,3425.31,2024-11-25 01:22:22
Nariman Point,417.98,358.01,4861.12,2024-11-25 01:22:27
Prabhadevi,311.94,118.7,3941.68,2024-11-25 01:22:32
Ghatkopar,119.95,72.49,979.03,2024-11-25 01:22:37
Khar,165.38,477.87,3260.19,2024-11-25 01:22:42
Chembur,439.69,359.23,3221.23,2024-11-25 01:22:47
Jogeshwari,406.77,77.49,711.19,2024-11-25 01:22:52
Kurla,427.71,304.24,3227.15,2024-11-25 01:22:57
Mahalaxmi,194.7,112.4,3246.37,2024-11-25 01:23:02
Kandivali East,31.13,367.0,3185.09,2024-11-25 01:23:07
Mulund,221.89,368.45,1221.53,2024-11-25 01:23:12
Prabhadevi,121.24,93.88,1199.64,2024-11-25 01:23:17
Malad,260.67,186.35,3128.25,2024-11-25 01:23:22
Versova,290.2,289.16,955.18,2024-11-25 01:23:27
Borivali,425.57,158.24,1790.09,2024-11-25 01:23:32
Bhayandar,310.36,327.64,805.91,2024-11-25 01:23:37
Ghatkopar,205.69,365.31,2158.09,2024-11-25 01:23:42
Sion,233.02,87.46,3021.65,2024-11-25 01:23:47
Borivali,342.83,88.44,2959.04,2024-11-25 01:23:52
Mulund,340.79,113.91,4036.47,2024-11-25 01:23:57
Kandivali,236.69,350.2,1396.23,2024-11-25 01:24:02
Chembur,491.7,47.19,788.46,2024-11-25 01:24:07
Borivali,283.66,411.95,614.01,2024-11-25 01:24:12
Lower Parel,93.91,445.38,3863.44,2024-11-25 01:24:17
Bhayandar,494.99,486.92,2642.05,2024-11-25 01:24:22
Dadar,57.27,429.43,477.18,2024-11-25 01:24:27
Kurla,120.62,428.82,892.51,2024-11-25 01:24:32
Mulund,481.44,116.35,1374.24,2024-11-25 01:24:37
Bandra,209.33,59.87,4847.14,2024-11-25 01:24:42
Versova,322.91,475.76,3988.81,2024-11-25 01:24:47
Santacruz,159.17,496.37,2099.84,2024-11-25 01:24:52
Marine Drive,431.89,455.94,2965.8,2024-11-25 01:24:57
Kandivali,424.65,360.0,3802.97,2024-11-25 01:25:02
Parel,182.25,195.76,1042.35,2024-11-25 01:25:07
Chembur,8.7,49.45,454.28,2024-11-25 01:25:12
Bhayandar,297.77,86.42,1869.81,2024-11-25 01:25:17
Lower Parel,302.39,2.98,1284.12,2024-11-25 01:25:22
Kandivali West,121.52,476.81,3885.09,2024-11-25 01:25:27
Sion,338.09,314.53,1189.07,2024-11-25 01:25:32
Vashi,478.42,133.44,4342.38,2024-11-25 01:25:37
Colaba,284.15,410.54,4592.37,2024-11-25 01:25:42
Prabhadevi,81.64,205.49,1854.39,2024-11-25 01:25:47
Santacruz,94.0,214.76,1389.84,2024-11-25 01:25:52
Bandra,243.79,71.84,3685.06,2024-11-25 01:25:57
Jogeshwari,204.8,79.88,1194.55,2024-11-25 01:26:02
Saki Naka,173.28,192.19,1526.39,2024-11-25 01:26:07
Kurla,305.89,41.42,3706.47,2024-11-25 01:26:12
Bhayandar,368.69,323.58,474.97,2024-11-25 01:26:17
Nariman Point,34.96,215.14,3355.33,2024-11-25 01:26:22
Sion,282.79,19.8,580.99,2024-11-25 01:26:27
Nariman Point,38.99,38.94,3904.33,2024-11-25 01:26:32
Versova,250.26,137.93,4214.51,2024-11-25 01:26:37
Marine Drive,387.8,326.01,2976.6,2024-11-25 01:26:42
Saki Naka,334.55,168.54,506.53,2024-11-25 01:26:47
Nariman Point,206.72,256.24,3173.36,2024-11-25 01:26:52
Kurla,343.71,390.6,1643.19,2024-11-25 01:26:57
Worli,237.66,96.82,4620.38,2024-11-25 01:27:02
Bandra,28.64,104.58,3482.83,2024-11-25 01:27:07
Dadar,255.12,188.05,3231.52,2024-11-25 01:27:12
Nariman Point,443.7,41.71,1938.22,2024-11-25 01:27:17
Kurla,371.38,276.59,2248.68,2024-11-25 01:27:22
Mahalaxmi,98.32,250.98,2522.12,2024-11-25 01:27:27
Thane,443.94,178.72,710.4,2024-11-25 01:27:33
Khar,70.51,476.44,4884.6,2024-11-25 01:27:38
Kurla,397.6,261.17,1706.93,2024-11-25 01:27:43
Kandivali West,152.54,419.03,2902.56,2024-11-25 01:27:48
Kandivali,205.37,484.71,4894.23,2024-11-25 01:27:53
Worli,372.35,267.97,4953.95,2024-11-25 01:27:58
Mahalaxmi,405.72,460.95,2094.15,2024-11-25 01:28:03
Khar,139.21,58.3,2547.98,2024-11-25 01:28:08
Saki Naka,346.14,291.44,4983.36,2024-11-25 01:28:13
Prabhadevi,129.97,131.32,3261.58,2024-11-25 01:28:18
Prabhadevi,302.68,215.0,1512.63,2024-11-25 01:28:23
Borivali,464.85,227.35,4431.61,2024-11-25 01:28:28
Lower Parel,212.62,439.41,4424.76,2024-11-25 01:28:33
Kandivali,183.27,375.79,3132.62,2024-11-25 01:28:38
Lower Parel,340.42,175.14,467.25,2024-11-25 01:28:43
Dahisar,450.35,146.02,2222.78,2024-11-25 01:28:48
Kandivali East,393.25,64.09,1381.6,2024-11-25 01:28:53
Santacruz,270.14,20.76,3523.45,2024-11-25 01:28:58
Vashi,227.48,390.19,4931.09,2024-11-25 01:29:03
Khar,462.23,47.64,4916.87,2024-11-25 01:29:08
Chembur,60.88,60.83,1494.82,2024-11-25 01:29:13
Khar,325.42,115.21,385.02,2024-11-25 01:29:18
Borivali,161.88,391.29,1588.31,2024-11-25 01:29:23
Jogeshwari,200.26,455.73,1958.45,2024-11-25 01:29:28
Kandivali,363.8,357.16,1946.46,2024-11-25 01:29:33
Lower Parel,348.77,112.81,684.19,2024-11-25 01:29:38
Kurla,201.41,410.84,3859.4,2024-11-25 01:29:43
Kandivali,393.29,60.9,3140.98,2024-11-25 01:29:48
Worli,490.21,126.85,3431.83,2024-11-25 01:29:53
Andheri,25.21,28.15,992.29,2024-11-25 01:29:58
Borivali,489.9,382.66,3799.9,2024-11-25 01:30:03
Saki Naka,146.49,328.87,4972.42,2024-11-25 01:30:08
Nariman Point,267.1,97.4,3972.29,2024-11-25 01:30:13
Chembur,262.19,19.02,1757.03,2024-11-25 01:30:18
Dadar,296.06,162.99,1433.99,2024-11-25 01:30:23
Santacruz,36.19,499.68,3183.24,2024-11-25 01:30:28
Matunga,469.22,68.58,3398.19,2024-11-25 01:30:33
Sion,438.9,455.68,3188.76,2024-11-25 01:30:38
Prabhadevi,436.36,165.34,4263.16,2024-11-25 01:30:43
Kandivali East,88.06,401.57,3675.45,2024-11-25 01:30:48
Colaba,428.92,169.8,1630.97,2024-11-25 01:30:53
Prabhadevi,436.15,25.55,4653.45,2024-11-25 01:30:58
Khar,389.51,426.53,1914.86,2024-11-25 01:31:03
Kandivali East,214.79,341.72,767.19,2024-11-25 01:31:08
Chembur,21.16,453.83,448.96,2024-11-25 01:31:13
Worli,466.1,255.48,4371.4,2024-11-25 01:31:18
Worli,25.52,249.37,2924.84,2024-11-25 01:31:23
Marine Drive,287.77,342.71,781.2,2024-11-25 01:31:28
Colaba,199.47,380.36,3858.18,2024-11-25 01:31:33
Jogeshwari,200.16,475.65,508.75,2024-11-25 01:31:38
Colaba,125.74,172.2,4602.31,2024-11-25 01:31:43
Matunga,439.8,443.36,1664.99,2024-11-25 01:31:48
Borivali,345.02,375.64,754.75,2024-11-25 01:31:53
Mulund,22.7,155.4,2498.8,2024-11-25 01:31:58
Santacruz,269.19,429.06,1072.28,2024-11-25 01:32:03
Jogeshwari,68.61,273.27,2190.74,2024-11-25 01:32:08
Kandivali East,457.23,30.67,624.04,2024-11-25 01:32:13
Kandivali,428.23,441.39,2712.26,2024-11-25 01:32:18
Mahalaxmi,419.55,54.95,1125.55,2024-11-25 01:32:23
Jogeshwari,441.55,388.36,2155.52,2024-11-25 01:32:28
Dadar,419.85,429.96,2144.15,2024-11-25 01:32:33
Kandivali East,55.2,29.24,2760.67,2024-11-25 01:32:38
Parel,56.22,359.21,673.81,2024-11-25 01:32:43
Ghatkopar,9.17,190.47,1345.27,2024-11-25 01:32:48
Parel,313.92,105.28,446.79,2024-11-25 01:32:53
Dadar,379.17,409.68,706.86,2024-11-25 01:32:58
Lower Parel,325.17,45.94,4591.23,2024-11-25 01:33:03
Chembur,206.59,35.01,4132.58,2024-11-25 01:33:08
Colaba,203.95,477.03,4762.49,2024-11-25 01:33:13
Vile Parle,343.98,477.97,1703.03,2024-11-25 01:33:18
Malad,31.55,442.22,4216.2,2024-11-25 01:33:23
Colaba,235.6,31.5,2146.97,2024-11-25 01:33:28
Vashi,115.25,481.36,2133.49,2024-11-25 01:33:33
Prabhadevi,362.44,99.56,4107.09,2024-11-25 01:33:38
Kandivali West,241.36,77.02,1631.7,2024-11-25 01:33:43
Bandra,128.55,392.33,3536.73,2024-11-25 01:33:48
Andheri,254.61,299.5,2453.55,2024-11-25 01:33:53
Kandivali,294.69,68.58,2090.53,2024-11-25 01:33:58
Saki Naka,305.57,409.59,1509.78,2024-11-25 01:34:03
Santacruz,209.8,92.82,2460.8,2024-11-25 01:34:08
Versova,151.55,431.29,4438.68,2024-11-25 01:34:13
Malad,54.62,426.35,1433.12,2024-11-25 01:34:18
Nariman Point,146.77,284.43,1772.66,2024-11-25 01:34:23
Prabhadevi,475.83,41.86,4518.79,2024-11-25 01:34:28
Worli,471.35,185.89,3654.08,2024-11-25 01:34:33
Chembur,195.57,489.57,2639.11,2024-11-25 01:34:38
Kandivali,2.4,487.71,4522.79,2024-11-25 01:34:43
Saki Naka,151.96,322.04,537.33,2024-11-25 01:34:48
Jogeshwari,232.98,367.81,2245.46,2024-11-25 01:34:53
Mulund,233.2,255.67,1578.53,2024-11-25 01:34:58
Bhayandar,244.65,94.02,4318.36,2024-11-25 01:35:03
Khar,288.91,261.85,3231.34,2024-11-25 01:35:08
Kandivali West,464.6,321.36,4687.86,2024-11-25 01:35:13
Colaba,153.21,173.86,790.61,2024-11-25 01:35:18
Kandivali West,275.92,34.99,874.9,2024-11-25 01:35:23
Marine Drive,337.57,37.81,1976.02,2024-11-25 01:35:28
Saki Naka,385.22,479.21,3085.9,2024-11-25 01:35:33
Lower Parel,82.4,332.05,1124.1,2024-11-25 01:35:38
Vile Parle,16.04,416.89,3202.94,2024-11-25 01:35:43
Jogeshwari,278.25,408.06,2446.89,2024-11-25 01:35:48
Kandivali,352.04,178.02,2371.03,2024-11-25 01:35:53
Kandivali West,33.92,264.91,672.62,2024-11-25 01:35:58
Kandivali,19.56,203.46,1193.79,2024-11-25 01:36:03
Chembur,172.74,326.99,658.29,2024-11-25 01:36:08
Mulund,128.39,485.97,2420.63,2024-11-25 01:36:13
Santacruz,71.11,438.22,4576.27,2024-11-25 01:36:18
Kandivali,307.66,86.59,3723.08,2024-11-25 01:36:23
Bandra,210.59,440.2,1039.1,2024-11-25 01:36:28
Saki Naka,122.39,15.33,4569.79,2024-11-25 01:36:33
Colaba,154.94,455.83,3533.1,2024-11-25 01:36:38
Kandivali,472.57,374.5,2198.46,2024-11-25 01:36:43
Dadar,24.52,158.7,3984.38,2024-11-25 01:36:48
Mulund,440.77,185.76,2143.01,2024-11-25 01:36:53
Versova,199.93,307.93,807.79,2024-11-25 01:36:58
Malad,210.0,434.79,755.96,2024-11-25 01:37:03
Nariman Point,26.55,12.54,4164.99,2024-11-25 01:37:08
Kandivali West,185.17,20.45,3736.34,2024-11-25 01:37:13
Matunga,133.6,21.74,4807.8,2024-11-25 01:37:18
Mulund,251.49,325.73,1052.8,2024-11-25 01:37:23
Marine Drive,121.94,4.62,2318.17,2024-11-25 01:37:28
Worli,246.23,391.34,433.16,2024-11-25 01:37:33
Worli,66.08,361.72,1958.35,2024-11-25 01:37:38
Bhayandar,275.25,63.77,4678.72,2024-11-25 01:37:43
Andheri,218.01,27.42,734.18,2024-11-25 01:37:48
Khar,269.46,103.13,1997.71,2024-11-25 01:37:53
Versova,442.86,144.87,3638.86,2024-11-25 01:37:58
Kandivali,112.71,170.27,2651.94,2024-11-25 01:38:03
Jogeshwari,356.7,202.1,2307.28,2024-11-25 01:38:08
Vashi,383.59,307.47,2834.78,2024-11-25 01:38:13
Parel,198.74,115.0,4596.86,2024-11-25 01:38:18
Marine Drive,397.65,96.56,1636.53,2024-11-25 01:38:23
Dadar,44.19,121.61,3644.71,2024-11-25 01:38:28
Chembur,171.18,89.09,3728.53,2024-11-25 01:38:33
Kandivali East,463.9,281.76,1502.85,2024-11-25 01:38:38
Santacruz,335.76,59.2,1189.83,2024-11-25 01:38:43
Colaba,482.24,467.29,2262.35,2024-11-25 01:38:48
Malad,492.99,307.31,3392.59,2024-11-25 01:38:53
Prabhadevi,223.75,268.93,3877.68,2024-11-25 01:38:58
Vile Parle,143.5,395.12,2102.29,2024-11-25 01:39:03
Kandivali,389.95,467.02,555.39,2024-11-25 01:39:08
Worli,142.17,381.55,1288.78,2024-11-25 01:39:13
Malad,136.82,52.77,1127.31,2024-11-25 01:39:18
Khar,161.29,153.96,2421.5,2024-11-25 01:39:23
Colaba,155.53,424.85,4219.21,2024-11-25 01:39:28
Ghatkopar,496.27,398.64,2893.35,2024-11-25 01:39:33
Jogeshwari,66.88,107.15,2386.63,2024-11-25 01:39:38
Mahalaxmi,361.62,469.27,2487.97,2024-11-25 01:39:43
Bandra,386.23,254.58,2891.27,2024-11-25 01:39:48
Sion,256.72,83.32,3024.2,2024-11-25 01:39:53
Mulund,63.15,14.86,2380.52,2024-11-25 01:39:58
Dahisar,397.78,127.69,1373.03,2024-11-25 01:40:03
Jogeshwari,395.24,475.82,1490.19,2024-11-25 01:40:08
Thane,272.54,464.37,4499.14,2024-11-25 01:40:13
Nariman Point,226.3,330.72,2049.6,2024-11-25 01:40:18
Santacruz,494.65,279.09,2949.03,2024-11-25 01:40:23
Kandivali,51.97,126.63,341.3,2024-11-25 01:40:28
Chembur,194.58,48.2,2741.34,2024-11-25 01:40:33
Mahalaxmi,266.72,440.77,3165.58,2024-11-25 01:40:38
Borivali,117.14,294.59,1448.76,2024-11-25 01:40:43
Matunga,312.39,157.86,4766.26,2024-11-25 01:40:48
Matunga,127.55,8.06,836.51,2024-11-25 01:40:53
Marine Drive,253.82,245.1,2597.91,2024-11-25 01:40:58
Versova,97.17,395.27,4423.76,2024-11-25 01:41:03
Parel,403.4,343.71,477.3,2024-11-25 01:41:08
Mahalaxmi,207.28,80.02,1569.94,2024-11-25 01:41:13
Marine Drive,478.81,273.51,3541.08,2024-11-25 01:41:18
Malad,2.33,3.84,2086.73,2024-11-25 01:41:23
Matunga,316.66,369.44,2963.41,2024-11-25 01:41:28
Mahalaxmi,448.37,268.46,2350.16,2024-11-25 01:41:33
Vile Parle,40.44,204.85,3248.67,2024-11-25 01:41:38
Sion,330.35,249.5,3996.36,2024-11-25 01:41:43
Parel,52.42,292.83,3165.51,2024-11-25 01:41:48
Dahisar,296.75,71.14,575.8,2024-11-25 01:41:53
Jogeshwari,423.99,341.47,1214.18,2024-11-25 01:41:58
Mahalaxmi,376.16,281.25,1824.11,2024-11-25 01:42:03
Jogeshwari,4.57,380.91,2052.08,2024-11-25 01:42:08
Santacruz,67.55,401.84,3238.6,2024-11-25 01:42:13
Santacruz,426.72,69.96,1037.7,2024-11-25 01:42:18
Bandra,179.61,49.14,3103.9,2024-11-25 01:42:23
Thane,340.5,242.74,4130.21,2024-11-25 01:42:28
Chembur,153.01,468.09,4561.85,2024-11-25 01:42:33
Mahalaxmi,124.8,55.47,4215.89,2024-11-25 01:42:38
Thane,236.03,228.42,3446.46,2024-11-25 01:42:43
Colaba,130.62,308.72,1977.08,2024-11-25 01:42:48
Kandivali,204.92,175.69,1123.65,2024-11-25 01:42:53
Mulund,438.16,345.77,443.68,2024-11-25 01:42:58
Vashi,253.71,267.65,2340.77,2024-11-25 01:43:03
Parel,66.86,396.44,554.81,2024-11-25 01:43:08
Jogeshwari,159.5,370.43,2087.4,2024-11-25 01:43:13
Vashi,165.1,2.33,4857.97,2024-11-25 01:43:18
Matunga,263.41,211.02,1354.85,2024-11-25 01:43:23
Vashi,212.47,316.73,1952.19,2024-11-25 01:43:28
Mulund,410.96,315.94,819.39,2024-11-25 01:43:33
Jogeshwari,433.01,482.12,2429.04,2024-11-25 01:43:38
Bandra,321.65,284.31,2306.93,2024-11-25 01:43:43
Marine Drive,134.33,77.42,4406.4,2024-11-25 01:43:48
Mulund,312.68,251.42,392.75,2024-11-25 01:43:53
Chembur,474.07,212.27,2706.39,2024-11-25 01:43:58
Chembur,89.88,372.81,3200.86,2024-11-25 01:44:03
Andheri,482.74,450.85,1925.63,2024-11-25 01:44:08
Colaba,382.71,481.22,438.75,2024-11-25 01:44:13
Mahalaxmi,177.02,227.09,2292.63,2024-11-25 01:44:18
Kurla,281.93,383.74,946.97,2024-11-25 01:44:23
Versova,472.86,179.03,1070.98,2024-11-25 01:44:28
Kurla,424.57,58.12,4489.33,2024-11-25 01:44:33
Worli,307.29,245.34,729.61,2024-11-25 01:44:38
Kandivali West,224.4,421.28,1337.11,2024-11-25 01:44:43
Dadar,136.8,458.51,3879.74,2024-11-25 01:44:48
Mulund,305.01,239.17,2412.16,2024-11-25 01:44:53
Kandivali West,41.63,497.41,2457.54,2024-11-25 01:44:58
Santacruz,197.67,136.98,3813.15,2024-11-25 01:45:03
Kandivali,427.98,47.57,4216.11,2024-11-25 01:45:08
Saki Naka,24.26,486.77,1320.07,2024-11-25 01:45:13
Mahalaxmi,184.9,300.17,2694.71,2024-11-25 01:45:18
Lower Parel,139.71,176.34,1271.75,2024-11-25 01:45:23
Khar,189.11,463.33,3190.53,2024-11-25 01:45:28
Jogeshwari,208.37,167.87,4076.57,2024-11-25 01:45:33
Lower Parel,458.38,489.2,4249.99,2024-11-25 01:45:38
Kurla,434.39,359.51,3969.87,2024-11-25 01:45:43
Chembur,214.11,241.25,1079.91,2024-11-25 01:45:48
Prabhadevi,457.73,56.57,4320.57,2024-11-25 01:45:53
Kandivali,448.49,173.04,768.35,2024-11-25 01:45:58
Matunga,298.95,83.59,2942.44,2024-11-25 01:46:03
Prabhadevi,10.53,263.86,1467.84,2024-11-25 01:46:08
Marine Drive,206.24,85.34,605.4,2024-11-25 01:46:13
Sion,239.42,122.81,2852.08,2024-11-25 01:46:18
Bhayandar,484.87,235.87,1339.14,2024-11-25 01:46:23
Kurla,134.69,196.81,1209.22,2024-11-25 01:46:28
Dadar,129.58,230.91,1259.95,2024-11-25 01:46:33
Colaba,408.77,6.0,3105.86,2024-11-25 01:46:38
Versova,496.03,32.23,929.77,2024-11-25 01:46:43
Jogeshwari,456.05,148.1,2501.52,2024-11-25 01:46:48
Mulund,419.45,1.63,2183.41,2024-11-25 01:46:53
Kandivali East,97.91,45.15,1606.12,2024-11-25 01:46:58
Chembur,92.82,63.59,3394.88,2024-11-25 01:47:03
Santacruz,402.74,422.03,3611.08,2024-11-25 01:47:08
Kurla,6.7,400.94,896.44,2024-11-25 01:47:13
Khar,146.29,20.82,971.57,2024-11-25 01:47:18
Versova,393.85,18.92,2242.82,2024-11-25 01:47:23
Parel,139.25,118.24,1317.83,2024-11-25 01:47:28
Nariman Point,34.84,252.73,3488.2,2024-11-25 01:47:33
Kandivali West,248.14,425.57,1596.32,2024-11-25 01:47:38
Vile Parle,376.76,159.04,3027.98,2024-11-25 01:47:43
Sion,17.07,89.2,4014.2,2024-11-25 01:47:48
Prabhadevi,194.25,273.83,2904.61,2024-11-25 01:47:53
Mulund,489.63,91.15,4846.02,2024-11-25 01:47:58
Dadar,106.98,458.13,4114.81,2024-11-25 01:48:03
Mahalaxmi,299.64,240.99,4035.37,2024-11-25 01:48:08
Versova,220.72,396.52,4348.99,2024-11-25 01:48:13
Sion,14.87,242.07,4124.38,2024-11-25 01:48:18
Mulund,117.07,340.54,4160.63,2024-11-25 01:48:23
Santacruz,374.04,1.65,1412.86,2024-11-25 01:48:28
Ghatkopar,204.11,35.53,4797.3,2024-11-25 01:48:33
Kandivali East,263.96,16.39,1248.76,2024-11-25 01:48:38
Marine Drive,102.64,63.89,3665.36,2024-11-25 01:48:43
Kurla,294.95,474.68,3956.27,2024-11-25 01:48:48
Dadar,299.54,437.55,4195.94,2024-11-25 01:48:53
Thane,34.03,421.48,939.86,2024-11-25 01:48:58
Bandra,483.84,475.08,1306.03,2024-11-25 01:49:03
Saki Naka,71.65,4.91,4636.41,2024-11-25 01:49:08
Kurla,93.97,450.31,4527.0,2024-11-25 01:49:13
Malad,483.17,269.91,1730.88,2024-11-25 01:49:18
Malad,161.34,177.62,1794.92,2024-11-25 01:49:23
Kandivali East,491.95,49.49,2873.45,2024-11-25 01:49:28
Lower Parel,379.96,398.72,1036.66,2024-11-25 01:49:33
Matunga,108.18,259.7,3742.66,2024-11-25 01:49:38
Kandivali West,319.78,68.98,4590.63,2024-11-25 01:49:43
Mulund,240.0,295.41,792.86,2024-11-25 01:49:48
Bandra,265.67,149.69,2812.07,2024-11-25 01:49:53
Sion,136.68,185.78,1087.4,2024-11-25 01:49:58
Ghatkopar,306.46,364.8,2444.2,2024-11-25 01:50:03
Khar,94.21,375.88,2105.4,2024-11-25 01:50:08
Malad,407.48,140.32,1340.49,2024-11-25 01:50:13
Kurla,292.01,179.53,1908.41,2024-11-25 01:50:18
Andheri,195.49,433.15,1643.05,2024-11-25 01:50:23
Bhayandar,187.65,478.99,3751.17,2024-11-25 01:50:28
