service,usage,status,timestamp
Electricity,7303.66,Non-Operational,2024-11-25 02:13:30
Waste Management,8227.53,Non-Operational,2024-11-25 02:13:35
Electricity,472.17,Partially Operational,2024-11-25 02:13:40
Electricity,9833.26,Non-Operational,2024-11-25 02:13:45
Water,4766.17,Non-Operational,2024-11-25 02:13:50
Electricity,6209.56,Operational,2024-11-25 02:13:55
Waste Management,434.27,Operational,2024-11-25 02:14:00
Waste Management,694.52,Non-Operational,2024-11-25 02:14:05
Water,1192.85,Partially Operational,2024-11-25 02:14:10
Waste Management,782.17,Non-Operational,2024-11-25 02:14:15
Electricity,2018.13,Operational,2024-11-25 02:14:20
Electricity,7898.05,Non-Operational,2024-11-25 02:14:25
Water,5334.48,Partially Operational,2024-11-25 02:14:30
Electricity,5216.63,Operational,2024-11-25 02:14:35
Electricity,2245.13,Partially Operational,2024-11-25 02:14:40
Water,3601.13,Non-Operational,2024-11-25 02:14:45
Water,3369.21,Partially Operational,2024-11-25 02:14:50
Water,5640.16,Non-Operational,2024-11-25 02:14:55
Waste Management,6610.17,Partially Operational,2024-11-25 02:15:00
Water,9933.32,Non-Operational,2024-11-25 02:15:05
Electricity,5289.01,Operational,2024-11-25 02:15:10
Waste Management,1946.51,Partially Operational,2024-11-25 02:15:15
Waste Management,9709.78,Operational,2024-11-25 02:42:59
Water,9512.71,Partially Operational,2024-11-25 02:43:04
Waste Management,8325.64,Operational,2024-11-25 02:43:09
Electricity,7694.26,Non-Operational,2024-11-25 02:43:14
Waste Management,1682.43,Operational,2024-11-25 02:43:19
Waste Management,4089.35,Non-Operational,2024-11-25 02:43:24
Electricity,8045.78,Non-Operational,2024-11-25 02:43:29
Electricity,6711.79,Partially Operational,2024-11-25 02:43:34
Water,3025.48,Operational,2024-11-25 02:43:39
Electricity,5631.83,Operational,2024-11-25 02:43:44
Electricity,4857.57,Operational,2024-11-25 02:43:49
Electricity,8601.06,Non-Operational,2024-11-25 02:43:54
Waste Management,3518.01,Operational,2024-11-25 02:43:59
Waste Management,1877.27,Partially Operational,2024-11-25 02:44:04
Electricity,3952.99,Partially Operational,2024-11-25 02:44:09
Electricity,3156.99,Partially Operational,2024-11-25 02:44:14
Waste Management,6687.24,Non-Operational,2024-11-25 02:44:19
Electricity,8253.79,Partially Operational,2024-11-25 02:44:24
Water,1425.9,Operational,2024-11-25 02:44:29
Electricity,2817.88,Non-Operational,2024-11-25 02:44:34
Electricity,6738.44,Operational,2024-11-25 02:44:39
Waste Management,8260.31,Partially Operational,2024-11-25 02:44:44
Electricity,3730.06,Non-Operational,2024-11-25 02:44:49
Water,364.68,Operational,2024-11-25 02:44:54
Electricity,6330.63,Partially Operational,2024-11-25 02:44:59
Electricity,146.21,Non-Operational,2024-11-25 02:45:04
Electricity,4029.14,Operational,2024-11-25 02:45:09
Water,4605.31,Operational,2024-11-25 02:45:14
Electricity,3354.14,Partially Operational,2024-11-25 02:45:19
Waste Management,5732.98,Partially Operational,2024-11-25 02:45:24
Waste Management,1139.81,Non-Operational,2024-11-25 02:45:29
Water,718.82,Non-Operational,2024-11-25 02:45:34
Waste Management,8298.96,Non-Operational,2024-11-25 02:45:39
Electricity,4731.63,Operational,2024-11-25 02:45:44
Water,5662.55,Non-Operational,2024-11-25 02:45:49
Electricity,151.7,Partially Operational,2024-11-25 02:45:54
Waste Management,3034.95,Operational,2024-11-25 02:45:59
Water,1985.6,Partially Operational,2024-11-25 02:46:04
Waste Management,9965.4,Non-Operational,2024-11-25 02:46:09
Water,9842.91,Partially Operational,2024-11-25 02:46:14
Waste Management,9686.97,Operational,2024-11-25 02:46:19
Water,7792.08,Operational,2024-11-25 02:46:24
Electricity,5520.79,Partially Operational,2024-11-25 02:46:29
Electricity,7514.71,Non-Operational,2024-11-25 02:46:34
Waste Management,9420.8,Operational,2024-11-25 02:46:39
Electricity,9578.96,Operational,2024-11-25 02:46:44
Water,9566.85,Non-Operational,2024-11-25 02:46:49
Waste Management,245.44,Operational,2024-11-25 02:46:54
Water,285.24,Partially Operational,2024-11-25 02:46:59
Water,3308.15,Partially Operational,2024-11-25 02:47:04
Electricity,6069.45,Partially Operational,2024-11-25 02:47:09
Water,3095.42,Non-Operational,2024-11-25 02:47:14
Waste Management,9550.84,Operational,2024-11-25 02:47:19
Waste Management,1068.41,Operational,2024-11-25 02:47:24
Water,3571.11,Non-Operational,2024-11-25 02:47:29
Waste Management,9849.62,Partially Operational,2024-11-25 02:47:34
Waste Management,4116.6,Partially Operational,2024-11-25 02:47:39
Waste Management,9762.08,Partially Operational,2024-11-25 02:47:44
Electricity,8578.12,Operational,2024-11-25 02:47:49
Electricity,117.94,Non-Operational,2024-11-25 02:47:54
Waste Management,9847.39,Partially Operational,2024-11-25 02:47:59
Electricity,5001.35,Operational,2024-11-25 02:48:04
Electricity,2393.39,Non-Operational,2024-11-25 02:48:09
Electricity,7379.79,Partially Operational,2024-11-25 02:48:14
Electricity,1329.52,Operational,2024-11-25 02:48:19
Water,8248.14,Partially Operational,2024-11-25 02:48:24
Waste Management,2339.45,Non-Operational,2024-11-25 02:48:29
Waste Management,7797.55,Operational,2024-11-25 02:48:34
Water,8331.7,Partially Operational,2024-11-25 02:48:39
Electricity,9022.14,Operational,2024-11-25 02:48:44
Electricity,4071.34,Partially Operational,2024-11-25 02:48:49
Water,2806.47,Operational,2024-11-25 02:48:54
Water,5746.24,Partially Operational,2024-11-25 02:48:59
Waste Management,9328.68,Non-Operational,2024-11-25 02:49:04
Water,5557.93,Operational,2024-11-25 02:49:09
Electricity,4086.35,Non-Operational,2024-11-25 02:49:14
Waste Management,7213.72,Partially Operational,2024-11-25 02:49:19
Waste Management,5732.5,Operational,2024-11-25 02:49:24
Water,8319.39,Non-Operational,2024-11-25 02:49:29
Water,1231.27,Operational,2024-11-25 02:49:34
Water,7138.4,Non-Operational,2024-11-25 02:49:39
Waste Management,3500.44,Operational,2024-11-25 02:49:44
Electricity,8419.64,Partially Operational,2024-11-25 02:49:49
Waste Management,7644.61,Operational,2024-11-25 02:49:54
Electricity,8029.51,Non-Operational,2024-11-25 02:49:59
Electricity,7275.92,Operational,2024-11-25 02:50:04
Electricity,4102.85,Operational,2024-11-25 02:50:09
Electricity,7455.07,Operational,2024-11-25 02:50:14
Water,5730.68,Operational,2024-11-25 02:50:19
Waste Management,8705.84,Non-Operational,2024-11-25 02:50:24
Waste Management,2032.25,Operational,2024-11-25 02:50:29
Water,7698.07,Operational,2024-11-25 02:50:34
Waste Management,981.97,Operational,2024-11-25 02:50:39
Water,2743.19,Partially Operational,2024-11-25 02:50:44
Water,4953.21,Operational,2024-11-25 02:50:49
Waste Management,6618.72,Non-Operational,2024-11-25 02:50:54
Waste Management,5029.68,Non-Operational,2024-11-25 02:50:59
Waste Management,5751.69,Partially Operational,2024-11-25 02:51:04
Water,4982.3,Operational,2024-11-25 02:51:09
Electricity,5815.05,Non-Operational,2024-11-25 02:51:14
Electricity,300.4,Partially Operational,2024-11-25 02:51:19
Water,127.9,Operational,2024-11-25 02:51:24
Waste Management,6387.21,Operational,2024-11-25 02:51:29
Electricity,7242.01,Partially Operational,2024-11-25 02:51:34
Water,7411.02,Operational,2024-11-25 02:51:39
Electricity,431.18,Non-Operational,2024-11-25 02:51:44
Water,5715.3,Non-Operational,2024-11-25 02:51:49
Waste Management,4779.99,Operational,2024-11-25 02:51:54
Waste Management,9592.27,Non-Operational,2024-11-25 02:51:59
Electricity,6485.05,Partially Operational,2024-11-25 02:52:04
Water,7601.78,Partially Operational,2024-11-25 02:52:09
Electricity,7843.79,Partially Operational,2024-11-25 02:52:15
Waste Management,5954.1,Partially Operational,2024-11-25 02:52:20
Electricity,6233.76,Operational,2024-11-25 02:52:25
Water,6648.2,Operational,2024-11-25 02:52:30
Water,2313.05,Operational,2024-11-25 02:52:35
Water,5081.21,Operational,2024-11-25 02:52:40
Water,5671.55,Operational,2024-11-25 02:52:45
Water,817.02,Operational,2024-11-25 02:52:50
Waste Management,3000.68,Non-Operational,2024-11-25 02:52:55
Water,450.13,Non-Operational,2024-11-25 02:53:00
Water,7759.42,Partially Operational,2024-11-25 02:53:05
Electricity,471.96,Operational,2024-11-25 02:53:10
Water,1289.67,Non-Operational,2024-11-25 02:53:15
Electricity,8881.04,Partially Operational,2024-11-25 02:53:20
Electricity,5146.59,Non-Operational,2024-11-25 02:53:25
Water,1200.25,Partially Operational,2024-11-25 02:53:30
Water,3128.23,Partially Operational,2024-11-25 02:53:35
Electricity,5008.56,Non-Operational,2024-11-25 02:53:40
Electricity,5109.35,Non-Operational,2024-11-25 02:53:45
Water,1896.2,Operational,2024-11-25 02:53:50
Waste Management,2612.71,Operational,2024-11-25 02:53:55
Waste Management,8036.45,Partially Operational,2024-11-25 02:54:00
Electricity,8062.22,Operational,2024-11-25 02:54:05
Water,4658.79,Operational,2024-11-25 02:54:10
Water,9884.25,Partially Operational,2024-11-25 02:54:15
Water,8709.83,Operational,2024-11-25 02:54:20
Water,2487.17,Partially Operational,2024-11-25 02:54:25
Electricity,3096.48,Non-Operational,2024-11-25 02:54:30
Water,7838.45,Non-Operational,2024-11-25 02:54:35
Water,5153.66,Non-Operational,2024-11-25 02:54:40
Waste Management,4817.76,Operational,2024-11-25 02:54:45
Water,2015.06,Partially Operational,2024-11-25 02:54:50
Water,2455.35,Non-Operational,2024-11-25 02:54:55
Waste Management,864.62,Partially Operational,2024-11-25 02:55:00
Waste Management,603.52,Partially Operational,2024-11-25 02:55:05
Water,5754.4,Operational,2024-11-25 02:55:10
Waste Management,6551.84,Operational,2024-11-25 02:55:15
Electricity,7103.61,Non-Operational,2024-11-25 02:55:20
Water,6230.92,Operational,2024-11-25 02:55:25
Water,5221.58,Non-Operational,2024-11-25 02:55:30
Water,8965.98,Non-Operational,2024-11-25 02:55:35
Waste Management,7713.87,Non-Operational,2024-11-25 02:55:40
Water,8024.83,Partially Operational,2024-11-25 02:55:45
Water,883.67,Partially Operational,2024-11-25 02:55:50
Waste Management,7475.82,Non-Operational,2024-11-25 02:55:55
Waste Management,9672.38,Non-Operational,2024-11-25 02:56:00
Water,3877.88,Non-Operational,2024-11-25 02:56:05
Waste Management,5164.62,Non-Operational,2024-11-25 02:56:10
Waste Management,2729.83,Operational,2024-11-25 02:56:15
Water,8786.61,Non-Operational,2024-11-25 02:56:20
Waste Management,3450.04,Non-Operational,2024-11-25 02:56:25
Electricity,6368.81,Partially Operational,2024-11-25 02:56:30
Water,9129.2,Partially Operational,2024-11-25 02:56:35
Waste Management,2364.39,Operational,2024-11-25 02:56:40
Waste Management,3117.11,Operational,2024-11-25 02:56:45
Waste Management,5707.21,Operational,2024-11-25 02:56:50
Electricity,2752.28,Operational,2024-11-25 02:56:55
Water,3154.29,Non-Operational,2024-11-25 02:57:00
Electricity,3745.63,Operational,2024-11-25 02:57:05
Water,8877.15,Partially Operational,2024-11-25 02:57:10
Waste Management,5844.05,Partially Operational,2024-11-25 02:57:15
Water,815.19,Operational,2024-11-25 02:57:20
Waste Management,5654.77,Non-Operational,2024-11-25 02:57:25
Waste Management,4999.85,Partially Operational,2024-11-25 02:57:30
Electricity,2582.9,Non-Operational,2024-11-25 02:57:35
Waste Management,1725.95,Partially Operational,2024-11-25 02:57:40
Electricity,7460.42,Operational,2024-11-25 02:57:45
Water,8102.36,Partially Operational,2024-11-25 02:57:50
Water,9620.44,Partially Operational,2024-11-25 02:57:55
Waste Management,4836.63,Partially Operational,2024-11-25 02:58:00
Waste Management,9705.75,Partially Operational,2024-11-25 02:58:05
Water,1715.55,Operational,2024-11-25 02:58:10
Water,3092.63,Operational,2024-11-25 02:58:15
Electricity,1145.5,Non-Operational,2024-11-25 02:58:20
Water,2869.47,Non-Operational,2024-11-25 02:58:25
Electricity,8757.21,Operational,2024-11-25 02:58:30
Water,4775.83,Partially Operational,2024-11-25 02:58:35
Waste Management,2290.88,Operational,2024-11-25 02:58:40
Water,3874.4,Operational,2024-11-25 02:58:45
Electricity,7304.34,Partially Operational,2024-11-25 02:58:50
Water,173.39,Operational,2024-11-25 02:58:55
Water,3903.84,Non-Operational,2024-11-25 02:59:00
Waste Management,2905.8,Non-Operational,2024-11-25 02:59:05
Electricity,8035.89,Partially Operational,2024-11-25 02:59:10
Water,8999.99,Non-Operational,2024-11-25 02:59:15
Water,9779.58,Operational,2024-11-25 02:59:20
Electricity,1384.8,Partially Operational,2024-11-25 02:59:25
Electricity,9692.91,Non-Operational,2024-11-25 02:59:30
Water,2599.78,Operational,2024-11-25 02:59:35
Water,5045.16,Partially Operational,2024-11-25 02:59:40
Waste Management,7040.53,Non-Operational,2024-11-25 02:59:45
Waste Management,6058.19,Partially Operational,2024-11-25 02:59:50
Water,3800.04,Non-Operational,2024-11-25 02:59:55
Waste Management,4750.64,Operational,2024-11-25 03:00:00
Water,7021.37,Operational,2024-11-25 03:00:05
Water,3468.81,Operational,2024-11-25 03:00:10
Electricity,6919.79,Non-Operational,2024-11-25 03:00:15
Water,7702.95,Operational,2024-11-25 03:00:20
Water,7170.95,Operational,2024-11-25 03:00:25
Water,1247.89,Partially Operational,2024-11-25 03:00:30
Electricity,7284.71,Partially Operational,2024-11-25 03:00:35
Waste Management,2818.62,Non-Operational,2024-11-25 03:00:40
Water,5423.37,Operational,2024-11-25 03:00:45
Electricity,9627.96,Operational,2024-11-25 03:00:50
Waste Management,312.63,Operational,2024-11-25 03:00:55
Waste Management,2070.96,Operational,2024-11-25 03:01:00
Water,4677.57,Operational,2024-11-25 03:01:05
Electricity,6402.13,Partially Operational,2024-11-25 03:01:10
Waste Management,8979.47,Partially Operational,2024-11-25 03:01:15
Waste Management,4321.69,Operational,2024-11-25 03:01:20
Waste Management,2444.57,Non-Operational,2024-11-25 03:01:25
Water,5718.53,Operational,2024-11-25 03:01:30
Electricity,4205.88,Non-Operational,2024-11-25 03:01:35
Electricity,9975.84,Non-Operational,2024-11-25 03:01:40
Electricity,3147.3,Operational,2024-11-25 03:01:45
Waste Management,9266.11,Operational,2024-11-25 03:01:50
Water,1031.18,Operational,2024-11-25 03:01:55
Electricity,6097.81,Non-Operational,2024-11-25 03:02:00
Water,3413.6,Partially Operational,2024-11-25 03:02:05
Waste Management,6091.69,Partially Operational,2024-11-25 03:02:10
Electricity,4017.86,Partially Operational,2024-11-25 03:02:15
Waste Management,1066.99,Non-Operational,2024-11-25 03:02:20
Waste Management,7376.06,Non-Operational,2024-11-25 03:02:25
Water,9688.09,Operational,2024-11-25 03:02:30
Waste Management,4154.81,Operational,2024-11-25 03:02:35
Waste Management,4988.05,Operational,2024-11-25 03:02:40
Waste Management,934.7,Partially Operational,2024-11-25 03:02:45
Waste Management,3131.8,Partially Operational,2024-11-25 03:02:50
Electricity,3803.48,Partially Operational,2024-11-25 03:02:55
Waste Management,6792.11,Partially Operational,2024-11-25 03:03:00
Waste Management,1665.95,Partially Operational,2024-11-25 03:03:05
Water,2498.79,Partially Operational,2024-11-25 03:03:10
Electricity,5439.22,Non-Operational,2024-11-25 03:03:15
Waste Management,2965.37,Non-Operational,2024-11-25 03:03:20
Water,669.06,Partially Operational,2024-11-25 03:03:25
Water,5173.44,Operational,2024-11-25 03:03:30
Water,8564.54,Non-Operational,2024-11-25 03:03:35
Electricity,8864.66,Partially Operational,2024-11-25 03:03:40
Waste Management,7820.99,Operational,2024-11-25 03:03:45
Electricity,4101.86,Non-Operational,2024-11-25 03:03:50
Water,4943.81,Operational,2024-11-25 03:03:55
Electricity,2120.07,Non-Operational,2024-11-25 03:04:00
Electricity,6489.04,Non-Operational,2024-11-25 03:04:05
Electricity,9459.25,Non-Operational,2024-11-25 03:04:10
Electricity,8608.91,Non-Operational,2024-11-25 03:04:15
Waste Management,7536.75,Partially Operational,2024-11-25 03:04:20
Electricity,830.95,Non-Operational,2024-11-25 03:04:25
Water,9257.74,Partially Operational,2024-11-25 03:04:30
Electricity,3858.43,Operational,2024-11-25 03:04:35
Electricity,5656.97,Non-Operational,2024-11-25 03:04:40
Electricity,9030.71,Operational,2024-11-25 03:04:45
Waste Management,437.78,Operational,2024-11-25 03:04:50
Electricity,1331.34,Partially Operational,2024-11-25 03:04:55
Waste Management,5397.2,Partially Operational,2024-11-25 03:05:00
Waste Management,8847.41,Non-Operational,2024-11-25 03:05:05
Water,613.92,Non-Operational,2024-11-25 03:05:10
Waste Management,2387.38,Non-Operational,2024-11-25 03:05:15
Waste Management,6512.37,Partially Operational,2024-11-25 03:05:20
Electricity,7540.11,Partially Operational,2024-11-25 03:05:25
Water,429.84,Partially Operational,2024-11-25 03:05:30
Water,3903.44,Operational,2024-11-25 03:05:35
Water,3053.05,Non-Operational,2024-11-25 03:05:40
Water,9521.78,Partially Operational,2024-11-25 03:05:45
Electricity,1494.35,Non-Operational,2024-11-25 03:05:50
Electricity,5910.58,Non-Operational,2024-11-25 03:05:55
Waste Management,8027.43,Partially Operational,2024-11-25 03:06:00
Electricity,5477.45,Partially Operational,2024-11-25 03:06:05
Water,1482.89,Partially Operational,2024-11-25 03:06:10
Electricity,4833.5,Non-Operational,2024-11-25 03:06:15
Waste Management,5395.82,Partially Operational,2024-11-25 03:06:20
Electricity,8576.5,Partially Operational,2024-11-25 03:06:25
Water,6771.83,Operational,2024-11-25 03:06:30
Water,6075.09,Non-Operational,2024-11-25 03:06:35
Waste Management,514.64,Operational,2024-11-25 03:06:40
Electricity,7520.56,Non-Operational,2024-11-25 03:06:45
Electricity,6614.18,Partially Operational,2024-11-25 03:06:50
Electricity,8933.15,Operational,2024-11-25 03:06:55
Waste Management,7671.7,Non-Operational,2024-11-25 03:07:00
Waste Management,7290.2,Partially Operational,2024-11-25 03:07:05
Waste Management,6612.48,Operational,2024-11-25 03:07:10
Water,2423.59,Non-Operational,2024-11-25 03:07:15
Water,6869.98,Operational,2024-11-25 03:07:20
Electricity,4218.62,Partially Operational,2024-11-25 03:07:25
Waste Management,3786.61,Non-Operational,2024-11-25 03:07:30
Water,6497.5,Operational,2024-11-25 03:07:35
Electricity,6878.85,Operational,2024-11-25 03:07:40
Waste Management,9624.7,Non-Operational,2024-11-25 03:07:45
Waste Management,9069.94,Non-Operational,2024-11-25 03:07:51
Waste Management,3688.82,Operational,2024-11-25 03:07:56
Waste Management,5838.46,Operational,2024-11-25 03:08:01
Waste Management,5803.29,Operational,2024-11-25 03:08:06
Electricity,5211.74,Non-Operational,2024-11-25 03:08:11
Waste Management,1823.85,Operational,2024-11-25 03:08:16
Waste Management,5581.99,Operational,2024-11-25 03:08:21
Electricity,4468.03,Partially Operational,2024-11-25 03:08:26
Electricity,4796.01,Operational,2024-11-25 03:08:31
Electricity,4058.83,Operational,2024-11-25 03:08:36
Electricity,1921.01,Non-Operational,2024-11-25 03:08:41
Waste Management,7804.5,Non-Operational,2024-11-25 03:08:46
Water,2063.25,Partially Operational,2024-11-25 03:08:51
Waste Management,2726.87,Operational,2024-11-25 03:08:56
Electricity,9403.36,Partially Operational,2024-11-25 03:09:01
Electricity,9469.29,Partially Operational,2024-11-25 03:09:06
Electricity,4505.72,Operational,2024-11-25 03:09:11
Electricity,1540.0,Non-Operational,2024-11-25 03:09:16
Waste Management,5846.88,Partially Operational,2024-11-25 03:09:21
Waste Management,1119.34,Operational,2024-11-25 03:09:26
Water,9543.62,Non-Operational,2024-11-25 03:09:31
Electricity,5241.45,Operational,2024-11-25 03:09:36
Water,6617.8,Partially Operational,2024-11-25 03:09:41
Waste Management,9025.17,Partially Operational,2024-11-25 03:09:46
Electricity,7359.13,Non-Operational,2024-11-25 03:09:51
Water,5440.95,Partially Operational,2024-11-25 03:09:56
Waste Management,3375.36,Non-Operational,2024-11-25 03:10:01
Waste Management,3292.69,Non-Operational,2024-11-25 03:10:06
Water,5828.25,Non-Operational,2024-11-25 03:10:11
Water,8338.49,Operational,2024-11-25 03:10:16
Waste Management,7751.11,Non-Operational,2024-11-25 03:10:21
Water,3759.82,Partially Operational,2024-11-25 03:10:26
Electricity,6180.49,Partially Operational,2024-11-25 03:10:31
Electricity,4680.6,Non-Operational,2024-11-25 03:10:36
Waste Management,806.05,Operational,2024-11-25 03:10:41
Electricity,3308.78,Partially Operational,2024-11-25 03:10:46
Waste Management,8022.15,Partially Operational,2024-11-25 03:10:51
Water,7828.65,Operational,2024-11-25 03:10:56
Electricity,1788.19,Operational,2024-11-25 03:11:01
Electricity,8249.6,Non-Operational,2024-11-25 03:11:06
Water,6465.03,Partially Operational,2024-11-25 03:11:11
Waste Management,7418.81,Partially Operational,2024-11-25 03:11:16
Waste Management,4568.66,Operational,2024-11-25 03:11:21
Waste Management,753.59,Partially Operational,2024-11-25 03:11:26
Electricity,3405.05,Partially Operational,2024-11-25 03:11:31
Waste Management,7027.27,Partially Operational,2024-11-25 03:11:36
Electricity,8272.53,Non-Operational,2024-11-25 03:11:41
Waste Management,8656.75,Operational,2024-11-25 03:11:46
Water,8505.54,Operational,2024-11-25 03:11:51
Electricity,7586.91,Non-Operational,2024-11-25 03:11:56
Waste Management,2636.79,Partially Operational,2024-11-25 03:12:01
Water,713.36,Non-Operational,2024-11-25 03:12:06
Water,9864.24,Operational,2024-11-25 03:12:11
Electricity,462.6,Operational,2024-11-25 03:12:16
Waste Management,6257.24,Non-Operational,2024-11-25 03:12:21
Water,4930.68,Operational,2024-11-25 03:12:26
Water,3601.22,Partially Operational,2024-11-25 03:12:31
Electricity,6087.36,Partially Operational,2024-11-25 03:12:36
Water,8359.87,Non-Operational,2024-11-25 03:12:41
Electricity,5174.44,Partially Operational,2024-11-25 03:12:46
Electricity,2143.51,Operational,2024-11-25 03:12:51
Water,9055.85,Operational,2024-11-25 03:12:56
Water,6631.28,Non-Operational,2024-11-25 03:13:01
Electricity,6198.98,Operational,2024-11-25 03:13:06
Electricity,416.72,Partially Operational,2024-11-25 03:13:11
Waste Management,3810.78,Operational,2024-11-25 03:13:16
Water,8516.84,Non-Operational,2024-11-25 03:13:21
Waste Management,5907.64,Non-Operational,2024-11-25 03:13:26
Water,6739.4,Non-Operational,2024-11-25 03:13:31
Electricity,5360.79,Operational,2024-11-25 03:13:36
Water,6642.47,Operational,2024-11-25 03:13:41
Water,1086.99,Operational,2024-11-25 03:13:46
Electricity,6520.09,Partially Operational,2024-11-25 03:13:51
Water,7284.93,Non-Operational,2024-11-25 03:13:56
Water,7346.4,Operational,2024-11-25 03:14:01
Electricity,583.22,Partially Operational,2024-11-25 03:14:06
Waste Management,2014.14,Partially Operational,2024-11-25 03:14:11
Water,6843.6,Operational,2024-11-25 03:14:16
Water,3468.72,Non-Operational,2024-11-25 03:14:21
Water,905.95,Partially Operational,2024-11-25 03:14:26
Waste Management,5214.71,Non-Operational,2024-11-25 03:14:31
Electricity,5785.33,Operational,2024-11-25 03:14:36
Waste Management,8882.91,Partially Operational,2024-11-25 03:14:41
Electricity,4873.75,Operational,2024-11-25 03:14:46
Waste Management,7293.79,Non-Operational,2024-11-25 03:14:51
Water,2152.24,Non-Operational,2024-11-25 03:14:56
Water,9047.93,Partially Operational,2024-11-25 03:15:01
Electricity,371.49,Non-Operational,2024-11-25 03:15:06
Water,4986.14,Partially Operational,2024-11-25 03:15:11
Waste Management,6312.54,Partially Operational,2024-11-25 03:15:16
Electricity,857.96,Partially Operational,2024-11-25 03:15:21
Water,2610.06,Partially Operational,2024-11-25 03:15:26
Electricity,8825.15,Operational,2024-11-25 03:15:31
Waste Management,7033.49,Operational,2024-11-25 03:15:36
Electricity,4175.1,Non-Operational,2024-11-25 03:15:41
Waste Management,6230.05,Non-Operational,2024-11-25 03:15:46
Waste Management,3801.21,Partially Operational,2024-11-25 03:15:51
Waste Management,6944.26,Operational,2024-11-25 03:15:56
Waste Management,4415.03,Non-Operational,2024-11-25 03:16:01
Electricity,8244.43,Non-Operational,2024-11-25 03:16:06
Water,8670.59,Non-Operational,2024-11-25 03:16:11
Waste Management,6493.51,Partially Operational,2024-11-25 03:16:16
Water,7028.84,Operational,2024-11-25 03:16:21
Water,2869.26,Partially Operational,2024-11-25 03:16:26
Electricity,9872.95,Operational,2024-11-25 03:16:31
Waste Management,2208.59,Partially Operational,2024-11-25 03:16:36
Waste Management,462.15,Operational,2024-11-25 03:16:41
Electricity,8235.56,Non-Operational,2024-11-25 03:16:46
Electricity,5527.37,Operational,2024-11-25 03:16:51
Water,6363.88,Partially Operational,2024-11-25 03:16:56
Waste Management,3390.09,Non-Operational,2024-11-25 03:17:01
Water,3340.16,Operational,2024-11-25 03:17:06
Waste Management,1008.96,Operational,2024-11-25 03:17:11
Electricity,5418.22,Operational,2024-11-25 03:17:16
Waste Management,3791.16,Operational,2024-11-25 03:17:21
Water,3820.78,Partially Operational,2024-11-25 03:17:26
Water,6552.72,Non-Operational,2024-11-25 03:17:31
Electricity,9847.94,Non-Operational,2024-11-25 03:17:36
Electricity,4800.34,Operational,2024-11-25 03:17:41
Electricity,4265.95,Non-Operational,2024-11-25 03:17:46
Waste Management,325.76,Partially Operational,2024-11-25 03:17:51
Waste Management,5381.25,Partially Operational,2024-11-25 03:17:56
Electricity,4868.35,Non-Operational,2024-11-25 03:18:01
Waste Management,9633.12,Partially Operational,2024-11-25 03:18:06
Electricity,335.99,Partially Operational,2024-11-25 03:18:11
Water,1007.45,Non-Operational,2024-11-25 03:18:16
Waste Management,3430.03,Partially Operational,2024-11-25 03:18:21
Water,1272.27,Operational,2024-11-25 03:18:26
Electricity,8768.53,Partially Operational,2024-11-25 03:18:31
Water,6468.27,Partially Operational,2024-11-25 03:18:36
Electricity,8824.75,Partially Operational,2024-11-25 03:18:41
Electricity,4913.8,Partially Operational,2024-11-25 03:18:46
Electricity,3571.92,Non-Operational,2024-11-25 03:18:51
Electricity,5554.9,Partially Operational,2024-11-25 03:18:56
Water,1768.39,Non-Operational,2024-11-25 03:19:01
Waste Management,870.4,Non-Operational,2024-11-25 03:19:06
Waste Management,1344.11,Operational,2024-11-25 03:19:11
Water,3146.66,Non-Operational,2024-11-25 03:19:16
Electricity,7325.11,Partially Operational,2024-11-25 03:19:21
Water,5215.25,Partially Operational,2024-11-25 03:19:26
Waste Management,2447.69,Partially Operational,2024-11-25 03:19:31
Water,8816.42,Non-Operational,2024-11-25 03:19:36
Electricity,4189.8,Non-Operational,2024-11-25 03:19:41
Waste Management,6332.2,Operational,2024-11-25 03:19:46
Water,2329.19,Non-Operational,2024-11-25 03:19:51
Water,2281.57,Partially Operational,2024-11-25 03:19:56
Water,9438.33,Partially Operational,2024-11-25 03:20:01
Electricity,181.71,Partially Operational,2024-11-25 03:20:06
Water,9749.4,Non-Operational,2024-11-25 03:20:11
Water,9957.18,Operational,2024-11-25 03:20:16
Water,194.28,Partially Operational,2024-11-25 03:20:21
Water,3099.38,Non-Operational,2024-11-25 03:20:26
Electricity,3311.3,Non-Operational,2024-11-25 03:20:31
Water,4646.48,Partially Operational,2024-11-25 03:20:36
Electricity,7803.79,Operational,2024-11-25 03:20:41
Waste Management,3418.32,Non-Operational,2024-11-25 03:20:46
Waste Management,8660.67,Partially Operational,2024-11-25 03:20:51
Waste Management,1547.98,Operational,2024-11-25 03:20:56
Waste Management,9836.05,Operational,2024-11-25 03:21:01
Water,7559.31,Partially Operational,2024-11-25 03:21:06
Waste Management,6091.02,Operational,2024-11-25 03:21:11
Waste Management,8160.41,Operational,2024-11-25 03:21:16
Water,7722.08,Operational,2024-11-25 03:21:21
Water,9813.27,Operational,2024-11-25 03:21:26
Electricity,3257.96,Partially Operational,2024-11-25 03:21:31
Water,5538.15,Operational,2024-11-25 03:21:36
Electricity,3563.61,Partially Operational,2024-11-25 03:21:41
Waste Management,8898.75,Non-Operational,2024-11-25 03:21:46
Water,2431.55,Partially Operational,2024-11-25 03:21:51
Waste Management,267.96,Operational,2024-11-25 03:21:56
