location,temperature,humidity,rainfall,wind_speed,timestamp
Colaba,6.01,22,161.14,11.54,2024-11-25 01:31:33
Vile Parle,13.18,41,61.33,7.91,2024-11-25 01:31:38
Jogeshwari,0.41,86,63.58,8.0,2024-11-25 01:31:43
Parel,1.69,28,73.92,15.01,2024-11-25 01:31:48
Kandivali West,10.85,47,168.27,3.28,2024-11-25 01:31:53
Santacruz,9.65,90,39.95,17.92,2024-11-25 01:31:58
Khar,5.5,38,119.09,14.6,2024-11-25 01:32:03
Colaba,33.74,43,139.45,14.79,2024-11-25 01:32:08
Kurla,38.63,23,127.97,13.5,2024-11-25 01:32:13
Kurla,19.06,50,98.42,3.27,2024-11-25 01:32:18
Colaba,32.62,33,146.7,4.85,2024-11-25 01:32:23
Thane,9.56,70,147.63,10.11,2024-11-25 01:32:28
Bhayandar,20.6,40,83.66,10.27,2024-11-25 01:32:33
Mahalaxmi,4.63,89,152.71,10.23,2024-11-25 01:32:38
Kandivali East,17.45,35,88.87,1.94,2024-11-25 01:32:43
Malad,-6.6,80,111.59,3.66,2024-11-25 01:32:48
Worli,25.39,74,62.59,11.88,2024-11-25 01:32:53
Colaba,29.33,41,5.28,13.16,2024-11-25 01:32:58
Jogeshwari,18.91,95,111.7,5.43,2024-11-25 01:33:03
Khar,4.8,27,39.44,5.2,2024-11-25 01:33:08
Kandivali West,-9.13,21,168.94,18.06,2024-11-25 01:33:13
Nariman Point,-4.41,40,12.63,16.31,2024-11-25 01:33:18
Vashi,23.9,77,28.64,4.88,2024-11-25 01:33:23
Marine Drive,-2.73,26,53.57,5.12,2024-11-25 01:33:28
Marine Drive,20.86,36,193.57,8.77,2024-11-25 01:33:33
Jogeshwari,37.16,56,180.51,2.14,2024-11-25 01:33:38
Bhayandar,26.07,86,176.92,7.26,2024-11-25 01:33:43
Saki Naka,21.66,86,140.31,16.13,2024-11-25 01:33:48
Prabhadevi,24.79,41,87.41,0.44,2024-11-25 01:33:53
Dadar,25.6,72,42.28,16.89,2024-11-25 01:33:58
Saki Naka,0.31,86,12.23,13.72,2024-11-25 01:34:03
Ghatkopar,-6.58,31,48.84,4.17,2024-11-25 01:34:08
Prabhadevi,8.47,87,118.31,5.7,2024-11-25 01:34:13
Sion,-0.27,70,183.25,4.42,2024-11-25 01:34:18
Malad,-9.85,20,140.27,17.84,2024-11-25 01:34:23
Andheri,16.31,39,124.97,11.59,2024-11-25 01:34:28
Bandra,19.51,86,139.66,3.63,2024-11-25 01:34:33
Jogeshwari,19.52,63,5.62,19.44,2024-11-25 01:34:38
Marine Drive,22.37,85,64.9,4.88,2024-11-25 01:34:43
Bhayandar,-9.92,81,73.1,6.06,2024-11-25 01:34:48
Kandivali,29.37,87,95.78,3.97,2024-11-25 01:34:53
Mulund,-7.99,41,136.86,0.77,2024-11-25 01:34:58
Kandivali,18.94,41,107.22,0.99,2024-11-25 01:35:03
Kurla,6.7,36,37.11,8.54,2024-11-25 01:35:08
Bhayandar,35.81,30,102.29,2.82,2024-11-25 01:35:13
Prabhadevi,18.04,41,9.41,16.08,2024-11-25 01:35:18
Kandivali West,-9.05,97,30.21,12.71,2024-11-25 01:35:23
Matunga,9.16,59,6.78,15.95,2024-11-25 01:35:28
Worli,26.36,65,92.23,7.4,2024-11-25 01:35:33
Malad,36.08,52,195.56,19.55,2024-11-25 01:35:38
Matunga,-2.43,71,73.7,19.63,2024-11-25 01:35:43
Dadar,21.84,59,153.96,3.42,2024-11-25 01:35:48
Ghatkopar,5.4,67,141.24,9.52,2024-11-25 01:35:53
Kandivali West,37.93,77,33.51,6.06,2024-11-25 01:35:58
Vile Parle,34.45,34,41.11,9.47,2024-11-25 01:36:03
Marine Drive,-7.42,83,133.69,10.02,2024-11-25 01:36:08
Parel,19.46,44,53.1,12.61,2024-11-25 01:36:13
Saki Naka,20.42,25,160.68,13.58,2024-11-25 01:36:18
Colaba,32.11,26,131.12,5.56,2024-11-25 01:36:23
Kurla,-2.86,95,64.75,12.59,2024-11-25 01:36:28
Borivali,-2.35,87,190.9,9.19,2024-11-25 01:36:33
Santacruz,28.13,59,160.48,11.6,2024-11-25 01:36:38
Kurla,9.63,93,56.27,14.12,2024-11-25 01:36:43
Vile Parle,20.94,34,166.09,7.54,2024-11-25 01:36:48
Nariman Point,12.63,21,177.36,10.93,2024-11-25 01:36:53
Saki Naka,32.72,38,106.72,3.15,2024-11-25 01:36:58
Borivali,21.59,62,21.6,0.79,2024-11-25 01:37:03
Colaba,-7.11,54,147.23,1.43,2024-11-25 01:37:08
Marine Drive,-7.65,96,98.66,0.46,2024-11-25 01:37:13
Bhayandar,12.43,90,99.47,15.87,2024-11-25 01:37:18
Malad,9.96,32,155.15,11.62,2024-11-25 01:37:23
Prabhadevi,5.85,76,19.83,6.52,2024-11-25 01:37:28
Mulund,33.37,98,18.87,19.84,2024-11-25 01:37:33
Kandivali West,32.9,67,115.87,1.54,2024-11-25 01:37:38
Vashi,6.27,60,115.76,8.97,2024-11-25 01:37:43
Lower Parel,33.06,84,73.78,3.86,2024-11-25 01:37:48
Dahisar,-8.51,96,91.17,19.76,2024-11-25 01:37:53
Kandivali East,23.26,82,75.41,11.99,2024-11-25 01:37:58
Dadar,21.96,42,99.13,17.47,2024-11-25 01:38:03
Saki Naka,29.25,29,49.41,2.07,2024-11-25 01:38:08
Vashi,25.83,74,77.28,1.07,2024-11-25 01:38:13
Kurla,38.55,53,106.12,6.98,2024-11-25 01:38:18
Santacruz,38.49,32,159.06,10.21,2024-11-25 01:38:23
Parel,17.37,59,12.91,17.6,2024-11-25 01:38:28
Andheri,10.68,35,140.11,6.02,2024-11-25 01:38:33
Prabhadevi,-8.24,44,13.29,17.01,2024-11-25 01:38:38
Mahalaxmi,2.84,92,132.55,9.3,2024-11-25 01:38:43
Vashi,17.62,64,57.49,5.53,2024-11-25 01:38:48
Ghatkopar,11.41,67,34.35,18.61,2024-11-25 01:38:53
Bandra,3.71,88,155.67,2.6,2024-11-25 01:38:58
Mahalaxmi,15.19,79,152.05,18.47,2024-11-25 01:39:03
Bandra,12.77,39,129.48,10.1,2024-11-25 01:39:08
Worli,11.55,41,51.13,19.83,2024-11-25 01:39:13
Lower Parel,-1.49,30,63.26,19.28,2024-11-25 01:39:18
Chembur,-6.11,31,159.26,4.76,2024-11-25 01:39:23
Marine Drive,35.31,36,79.05,6.35,2024-11-25 01:39:28
Lower Parel,-2.75,81,116.21,13.61,2024-11-25 01:39:33
Nariman Point,28.12,98,11.82,12.72,2024-11-25 01:39:38
Santacruz,20.82,40,168.71,1.33,2024-11-25 01:39:43
Nariman Point,19.67,81,126.26,17.04,2024-11-25 01:39:48
Kandivali,14.23,65,165.0,19.28,2024-11-25 01:39:53
Marine Drive,27.04,54,169.67,1.59,2024-11-25 01:39:58
Nariman Point,-7.87,46,71.83,18.79,2024-11-25 01:40:03
Dadar,-2.04,83,124.45,14.43,2024-11-25 01:40:08
Ghatkopar,34.94,50,111.91,1.18,2024-11-25 01:40:13
Bhayandar,17.47,35,178.64,0.12,2024-11-25 01:40:18
Kandivali East,36.41,54,69.39,12.92,2024-11-25 01:40:23
Lower Parel,9.7,76,123.51,1.71,2024-11-25 01:40:28
Sion,35.74,48,137.31,5.39,2024-11-25 01:40:33
Marine Drive,-6.86,38,62.65,1.3,2024-11-25 01:40:38
Malad,34.84,52,4.18,5.69,2024-11-25 01:40:43
Mulund,21.82,60,111.31,5.59,2024-11-25 01:40:48
Kandivali East,9.19,63,190.26,3.05,2024-11-25 01:40:53
Prabhadevi,-6.53,87,91.27,6.66,2024-11-25 01:40:58
Kandivali,28.43,98,25.71,11.34,2024-11-25 01:41:03
Thane,20.84,91,161.4,11.08,2024-11-25 01:41:08
Versova,24.3,33,29.53,15.68,2024-11-25 01:41:13
Parel,39.24,40,152.58,8.92,2024-11-25 01:41:18
Lower Parel,-9.37,68,62.85,2.53,2024-11-25 01:41:23
Matunga,4.4,79,154.85,12.58,2024-11-25 01:41:28
Kurla,9.05,97,146.62,13.94,2024-11-25 01:41:33
Chembur,-7.97,90,43.78,2.07,2024-11-25 01:41:38
Worli,27.46,82,41.07,7.1,2024-11-25 01:41:43
Saki Naka,26.18,44,140.74,16.22,2024-11-25 01:41:48
Vile Parle,39.42,32,35.94,19.11,2024-11-25 01:41:53
Sion,-6.56,100,107.28,2.89,2024-11-25 01:41:58
Borivali,-6.43,59,161.95,14.12,2024-11-25 01:42:03
Vile Parle,-0.95,83,134.88,10.79,2024-11-25 01:42:08
Thane,-9.44,82,131.84,17.24,2024-11-25 01:42:13
Mahalaxmi,29.68,80,120.57,15.9,2024-11-25 01:42:18
Kandivali West,24.1,80,153.39,17.66,2024-11-25 01:42:23
Bhayandar,5.7,22,45.56,15.23,2024-11-25 01:42:28
Dahisar,18.59,91,5.0,7.08,2024-11-25 01:42:33
Kurla,9.03,23,50.98,6.71,2024-11-25 01:42:38
Santacruz,15.83,78,189.17,7.79,2024-11-25 01:42:43
Vile Parle,24.17,96,189.88,15.68,2024-11-25 01:42:48
Lower Parel,35.84,23,120.41,19.77,2024-11-25 01:42:53
Nariman Point,34.66,93,148.1,1.46,2024-11-25 01:42:58
Vile Parle,-1.11,40,39.67,14.7,2024-11-25 01:43:03
Nariman Point,30.43,43,124.05,11.74,2024-11-25 01:43:08
Nariman Point,25.99,67,79.28,14.79,2024-11-25 01:43:13
Versova,18.49,48,175.95,13.52,2024-11-25 01:43:18
Khar,20.07,39,28.62,18.5,2024-11-25 01:43:23
Borivali,34.01,74,66.66,10.23,2024-11-25 01:43:28
Lower Parel,28.42,45,178.51,13.11,2024-11-25 01:43:33
Khar,-3.5,45,47.67,10.37,2024-11-25 01:43:38
Saki Naka,17.19,40,137.68,5.37,2024-11-25 01:43:43
Dadar,8.57,81,144.75,1.43,2024-11-25 01:43:48
Nariman Point,12.71,57,180.31,14.95,2024-11-25 01:43:53
Sion,16.62,97,0.47,17.78,2024-11-25 01:43:58
Ghatkopar,-4.09,57,198.39,7.45,2024-11-25 01:44:03
Santacruz,6.71,75,106.68,14.45,2024-11-25 01:44:08
Prabhadevi,-0.75,34,18.04,15.44,2024-11-25 01:44:13
Colaba,36.22,25,159.68,1.08,2024-11-25 01:44:18
Colaba,18.57,60,4.34,7.27,2024-11-25 01:44:23
Sion,-8.6,44,106.07,18.72,2024-11-25 01:44:28
Santacruz,28.07,28,105.16,0.72,2024-11-25 01:44:33
Dahisar,25.04,62,123.69,4.84,2024-11-25 01:44:38
Dadar,29.84,79,98.42,13.46,2024-11-25 01:44:43
Thane,19.38,22,74.19,7.08,2024-11-25 01:44:48
Versova,26.78,31,198.77,3.25,2024-11-25 01:44:53
Dadar,-4.7,72,26.59,2.68,2024-11-25 01:44:58
Borivali,15.88,52,172.91,6.2,2024-11-25 01:45:03
Lower Parel,8.26,87,107.69,4.03,2024-11-25 01:45:08
Kandivali West,9.64,63,148.34,14.25,2024-11-25 01:45:13
Worli,12.83,27,179.96,5.63,2024-11-25 01:45:18
Matunga,-9.75,86,119.49,7.0,2024-11-25 01:45:23
Chembur,3.98,55,154.6,18.36,2024-11-25 01:45:28
Prabhadevi,34.29,88,33.94,16.77,2024-11-25 01:45:33
Kurla,28.22,92,148.98,5.21,2024-11-25 01:45:38
Jogeshwari,29.2,25,15.06,13.4,2024-11-25 01:45:43
Kurla,14.26,100,94.24,4.76,2024-11-25 01:45:48
Dadar,28.68,98,11.44,0.98,2024-11-25 01:45:53
Malad,10.23,25,96.06,5.54,2024-11-25 01:45:58
Chembur,34.27,78,14.08,1.48,2024-11-25 01:46:03
Kandivali,29.64,65,151.75,10.82,2024-11-25 01:46:08
Sion,28.69,20,9.89,17.1,2024-11-25 01:46:13
Jogeshwari,17.8,52,109.8,16.84,2024-11-25 01:46:18
Dadar,-7.14,33,93.25,15.28,2024-11-25 01:46:23
Versova,31.9,47,142.44,12.43,2024-11-25 01:46:28
Versova,4.19,82,137.7,0.38,2024-11-25 01:46:33
Chembur,1.11,41,104.32,19.9,2024-11-25 01:46:38
Kandivali East,17.25,65,46.84,13.15,2024-11-25 01:46:43
Thane,9.01,80,50.83,12.16,2024-11-25 01:46:48
Jogeshwari,32.71,100,161.44,6.06,2024-11-25 01:46:53
Versova,15.78,53,85.69,15.48,2024-11-25 01:46:58
Borivali,16.66,25,20.13,7.22,2024-11-25 01:47:03
Nariman Point,-2.02,96,188.4,14.29,2024-11-25 01:47:08
Mulund,14.31,48,163.72,9.07,2024-11-25 01:47:13
Santacruz,10.78,89,59.02,9.84,2024-11-25 01:47:18
Khar,14.09,61,34.04,9.39,2024-11-25 01:47:23
Kandivali,12.38,49,137.68,17.2,2024-11-25 01:47:28
Kurla,-5.74,89,110.24,3.69,2024-11-25 01:47:33
Santacruz,2.71,37,114.08,4.75,2024-11-25 01:47:38
Borivali,6.06,76,80.53,15.98,2024-11-25 01:47:43
Versova,29.07,44,111.51,13.62,2024-11-25 01:47:48
Santacruz,6.62,62,19.15,9.3,2024-11-25 01:47:53
Andheri,30.99,64,74.9,6.67,2024-11-25 01:47:58
Thane,15.23,27,48.01,18.82,2024-11-25 01:48:03
Dadar,13.93,34,71.14,7.9,2024-11-25 01:48:08
Worli,-7.63,69,16.15,1.15,2024-11-25 01:48:13
Kurla,26.19,87,178.43,1.55,2024-11-25 01:48:18
Vashi,-7.39,34,88.65,2.65,2024-11-25 01:48:23
Vile Parle,3.2,97,27.83,4.08,2024-11-25 01:48:28
Versova,-1.69,54,81.7,10.91,2024-11-25 01:48:33
Malad,11.92,84,150.27,3.22,2024-11-25 01:48:38
Mahalaxmi,16.4,90,80.57,13.38,2024-11-25 01:48:43
Prabhadevi,4.12,52,155.78,10.32,2024-11-25 01:48:48
Jogeshwari,-9.22,89,91.37,13.85,2024-11-25 01:48:53
Matunga,13.89,34,69.42,19.87,2024-11-25 01:48:58
Vile Parle,11.01,58,28.13,17.16,2024-11-25 01:49:03
Dadar,-9.6,67,91.16,13.97,2024-11-25 01:49:08
Dahisar,-4.21,96,147.26,1.51,2024-11-25 01:49:13
Dadar,-9.11,81,26.34,10.95,2024-11-25 01:49:18
Parel,6.02,39,188.52,19.67,2024-11-25 01:49:23
Bhayandar,36.21,21,61.12,6.37,2024-11-25 01:49:28
Parel,-6.62,20,185.32,0.89,2024-11-25 01:49:33
Santacruz,-1.94,63,7.93,11.89,2024-11-25 01:49:38
Bhayandar,38.57,43,180.57,2.73,2024-11-25 01:49:43
Jogeshwari,4.54,51,132.64,4.95,2024-11-25 01:49:48
Kandivali West,-7.54,87,63.42,18.58,2024-11-25 01:49:53
Khar,32.94,80,46.51,16.17,2024-11-25 01:49:58
Malad,30.69,31,46.59,3.79,2024-11-25 01:50:03
Malad,30.44,27,70.5,18.05,2024-11-25 01:50:08
Saki Naka,37.42,75,190.62,1.46,2024-11-25 01:50:13
Borivali,33.16,84,62.74,9.19,2024-11-25 01:50:18
Worli,-0.31,64,46.2,18.73,2024-11-25 01:50:23
Marine Drive,4.85,100,102.32,17.96,2024-11-25 01:50:28
Parel,-7.89,80,44.93,10.23,2024-11-25 01:50:33
Sion,30.16,82,187.4,12.46,2024-11-25 01:50:38
Chembur,4.47,44,174.58,10.47,2024-11-25 01:50:43
Ghatkopar,9.52,80,42.14,1.91,2024-11-25 01:50:48
Andheri,4.47,20,87.07,15.1,2024-11-25 01:50:53
Kandivali East,39.64,31,147.92,19.43,2024-11-25 01:50:58
Sion,6.77,88,52.36,8.03,2024-11-25 01:51:03
Khar,2.56,96,81.09,11.03,2024-11-25 01:51:08
Bhayandar,5.65,41,6.61,14.74,2024-11-25 01:51:13
Bandra,36.6,63,162.74,1.0,2024-11-25 01:51:18
Thane,3.36,55,136.33,17.6,2024-11-25 01:51:23
Bhayandar,6.15,78,54.56,0.21,2024-11-25 01:51:28
Nariman Point,27.95,91,101.87,5.31,2024-11-25 01:51:33
Sion,8.36,70,23.74,4.66,2024-11-25 01:51:38
Kandivali West,9.99,48,50.01,6.62,2024-11-25 01:51:43
Chembur,11.99,88,182.75,0.64,2024-11-25 01:51:48
Worli,30.54,28,171.75,10.19,2024-11-25 01:51:53
Saki Naka,6.23,81,184.04,13.7,2024-11-25 01:51:58
Matunga,25.06,71,101.11,0.27,2024-11-25 01:52:03
Bhayandar,7.1,89,13.9,19.0,2024-11-25 01:52:09
Dadar,-6.01,33,161.12,5.57,2024-11-25 01:52:14
Vile Parle,32.08,97,144.74,18.72,2024-11-25 01:52:19
Thane,30.16,58,87.17,4.64,2024-11-25 01:52:24
Jogeshwari,10.07,51,101.0,8.27,2024-11-25 01:52:29
Chembur,21.0,37,189.85,19.19,2024-11-25 01:52:34
Thane,38.19,58,49.65,12.38,2024-11-25 01:52:39
Lower Parel,13.23,60,150.59,0.79,2024-11-25 01:52:44
Dahisar,3.86,90,54.6,17.38,2024-11-25 01:52:49
Borivali,1.79,84,92.5,6.14,2024-11-25 01:52:54
Marine Drive,-0.98,84,149.0,10.59,2024-11-25 01:52:59
Malad,-9.67,74,97.75,8.27,2024-11-25 01:53:04
Vashi,8.08,37,15.87,15.6,2024-11-25 01:53:09
Malad,-3.56,47,16.69,18.3,2024-11-25 01:53:14
Nariman Point,33.77,61,112.06,17.03,2024-11-25 01:53:19
Saki Naka,39.24,36,89.23,6.52,2024-11-25 01:53:24
Saki Naka,-8.72,71,48.51,2.25,2024-11-25 01:53:29
Borivali,37.59,68,46.54,9.73,2024-11-25 01:53:34
Borivali,37.99,59,35.32,6.56,2024-11-25 01:53:39
Marine Drive,12.02,95,177.72,6.14,2024-11-25 01:53:44
Ghatkopar,29.94,51,5.29,12.62,2024-11-25 01:53:49
Santacruz,37.26,85,87.76,4.92,2024-11-25 01:53:54
Bandra,11.13,21,0.46,17.29,2024-11-25 01:53:59
Santacruz,33.88,74,162.55,19.71,2024-11-25 01:54:04
Bandra,-7.68,28,26.86,12.78,2024-11-25 01:54:09
Saki Naka,33.44,77,102.37,18.65,2024-11-25 01:54:14
Andheri,29.47,91,15.86,0.03,2024-11-25 01:54:19
Mulund,25.09,67,57.62,2.98,2024-11-25 01:54:24
Vile Parle,28.25,54,173.44,19.87,2024-11-25 01:54:29
Bhayandar,11.2,26,132.25,9.31,2024-11-25 01:54:34
Thane,4.92,23,185.36,10.13,2024-11-25 01:54:39
Worli,10.16,50,84.03,3.24,2024-11-25 01:54:44
Lower Parel,30.81,71,109.19,11.5,2024-11-25 01:54:49
Vashi,26.61,68,74.97,10.77,2024-11-25 01:54:54
Kandivali East,37.62,24,191.76,4.25,2024-11-25 01:54:59
Malad,-1.75,88,39.95,9.98,2024-11-25 01:55:04
Andheri,38.75,94,58.67,9.88,2024-11-25 01:55:09
Kandivali,-7.77,91,171.91,0.26,2024-11-25 01:55:14
Colaba,-0.01,77,27.1,18.26,2024-11-25 01:55:19
Sion,-5.26,100,50.89,2.8,2024-11-25 01:55:24
Matunga,7.83,59,189.64,11.64,2024-11-25 01:55:29
Sion,-2.56,26,94.89,7.34,2024-11-25 01:55:34
Vashi,-7.93,83,8.31,2.75,2024-11-25 01:55:39
Ghatkopar,22.64,82,120.93,14.7,2024-11-25 01:55:44
Nariman Point,18.0,39,75.98,3.85,2024-11-25 01:55:49
Dahisar,26.75,34,40.7,16.1,2024-11-25 01:55:54
Khar,28.78,20,176.07,17.98,2024-11-25 01:55:59
Mulund,32.1,81,49.57,17.86,2024-11-25 01:56:04
Chembur,21.38,21,37.2,16.1,2024-11-25 01:56:09
Parel,33.1,46,127.26,13.6,2024-11-25 01:56:14
Mulund,11.47,53,69.87,2.45,2024-11-25 01:56:19
Bandra,27.11,30,80.46,2.41,2024-11-25 01:56:24
Santacruz,17.86,33,171.18,2.43,2024-11-25 01:56:29
Marine Drive,38.34,81,51.66,19.81,2024-11-25 01:56:34
Jogeshwari,31.03,69,122.39,6.43,2024-11-25 01:56:39
Versova,20.55,25,9.25,9.45,2024-11-25 01:56:44
Saki Naka,33.3,65,11.25,19.17,2024-11-25 01:56:49
Prabhadevi,21.67,94,79.02,11.45,2024-11-25 01:56:54
Ghatkopar,22.97,94,133.28,17.5,2024-11-25 01:56:59
Kandivali West,-7.16,63,120.55,14.95,2024-11-25 01:57:04
Worli,9.04,81,78.15,6.54,2024-11-25 01:57:09
Parel,-1.21,34,64.78,11.13,2024-11-25 01:57:14
Marine Drive,-8.74,88,179.31,16.77,2024-11-25 01:57:19
Ghatkopar,30.57,94,96.59,8.43,2024-11-25 01:57:24
Dadar,36.61,25,21.39,19.01,2024-11-25 01:57:29
Kandivali East,32.49,48,105.11,15.43,2024-11-25 01:57:34
Vile Parle,36.46,80,169.28,9.71,2024-11-25 01:57:39
Santacruz,6.86,35,45.99,15.84,2024-11-25 01:57:44
Prabhadevi,-3.06,42,9.54,6.7,2024-11-25 01:57:49
Vashi,22.24,51,95.1,11.34,2024-11-25 01:57:54
Borivali,26.37,48,102.58,3.11,2024-11-25 01:57:59
Worli,17.52,98,20.31,9.56,2024-11-25 01:58:04
Bhayandar,32.57,88,162.05,4.37,2024-11-25 01:58:09
Chembur,19.14,40,172.52,4.15,2024-11-25 01:58:14
Chembur,24.75,91,53.5,5.13,2024-11-25 01:58:19
Mulund,20.45,43,8.38,2.71,2024-11-25 01:58:24
Bhayandar,10.22,73,24.68,2.74,2024-11-25 01:58:29
Jogeshwari,31.83,26,35.56,19.02,2024-11-25 01:58:34
Thane,32.9,41,33.95,6.4,2024-11-25 01:58:39
Bandra,29.7,85,183.57,2.15,2024-11-25 01:58:44
Santacruz,17.16,43,173.45,6.01,2024-11-25 01:58:49
Borivali,25.1,33,126.26,13.32,2024-11-25 01:58:54
Thane,11.44,45,157.23,1.81,2024-11-25 01:58:59
Marine Drive,38.1,99,134.98,14.23,2024-11-25 01:59:04
Santacruz,24.46,62,30.27,9.0,2024-11-25 01:59:09
Nariman Point,1.99,68,7.73,18.64,2024-11-25 01:59:14
Santacruz,33.28,64,97.34,1.0,2024-11-25 01:59:19
Prabhadevi,25.63,30,135.12,6.1,2024-11-25 01:59:24
Santacruz,23.6,52,109.8,16.76,2024-11-25 01:59:29
Jogeshwari,16.16,46,126.9,6.86,2024-11-25 01:59:34
Kurla,26.13,24,66.34,10.27,2024-11-25 01:59:39
Kandivali West,-2.18,45,127.58,13.98,2024-11-25 01:59:44
Worli,28.83,72,54.43,10.12,2024-11-25 01:59:49
Vile Parle,22.92,59,183.74,8.58,2024-11-25 01:59:54
Thane,38.78,92,75.38,8.84,2024-11-25 01:59:59
Santacruz,18.21,52,102.33,12.02,2024-11-25 02:00:04
Kandivali East,33.84,91,55.37,2.62,2024-11-25 02:00:09
Matunga,12.51,65,92.26,19.42,2024-11-25 02:00:14
Kurla,37.49,84,197.34,16.6,2024-11-25 02:00:19
Dahisar,22.92,76,133.67,16.8,2024-11-25 02:00:24
Bhayandar,15.79,73,112.95,1.51,2024-11-25 02:00:29
Mulund,-6.98,89,36.3,12.4,2024-11-25 02:00:34
Andheri,28.72,34,130.23,4.4,2024-11-25 02:00:39
Kurla,3.21,62,110.62,16.47,2024-11-25 02:00:44
Kandivali,38.37,39,105.91,6.75,2024-11-25 02:00:49
Worli,26.5,58,23.69,4.36,2024-11-25 02:00:54
Bandra,21.89,47,136.29,11.37,2024-11-25 02:00:59
Colaba,38.82,26,130.31,8.2,2024-11-25 02:01:04
Kandivali,6.77,35,102.64,5.96,2024-11-25 02:01:09
Kandivali East,10.59,26,176.34,4.78,2024-11-25 02:01:14
Vashi,-6.62,51,91.54,1.62,2024-11-25 02:01:19
Saki Naka,33.8,21,31.37,19.51,2024-11-25 02:01:24
Colaba,6.41,42,194.41,6.25,2024-11-25 02:01:29
Vashi,32.67,98,70.33,8.4,2024-11-25 02:01:34
Vile Parle,12.87,21,0.26,15.76,2024-11-25 02:01:39
Borivali,15.94,25,114.42,0.75,2024-11-25 02:01:44
Malad,13.28,29,8.8,12.65,2024-11-25 02:01:49
Versova,-6.89,56,71.01,19.27,2024-11-25 02:01:54
Mahalaxmi,31.63,79,3.24,1.72,2024-11-25 02:01:59
Kurla,-3.78,97,196.44,14.44,2024-11-25 02:02:04
Chembur,26.68,66,137.93,0.74,2024-11-25 02:02:09
Versova,12.99,49,185.72,17.11,2024-11-25 02:02:14
Malad,-9.74,43,13.52,14.88,2024-11-25 02:02:19
Thane,39.05,78,34.52,13.86,2024-11-25 02:02:24
Malad,33.05,51,170.9,2.18,2024-11-25 02:02:29
Mulund,37.43,86,92.92,4.88,2024-11-25 02:02:34
Nariman Point,31.6,56,106.12,19.67,2024-11-25 02:02:39
Bhayandar,3.31,98,106.51,6.5,2024-11-25 02:02:44
Dadar,-0.53,26,88.49,8.5,2024-11-25 02:02:49
Kandivali West,8.98,89,157.58,7.42,2024-11-25 02:02:54
Santacruz,24.41,43,191.2,17.27,2024-11-25 02:02:59
Nariman Point,31.16,84,38.9,8.7,2024-11-25 02:03:04
Vashi,3.8,68,169.72,4.53,2024-11-25 02:03:09
Borivali,8.12,70,116.65,10.56,2024-11-25 02:03:14
Bandra,12.69,41,139.46,3.88,2024-11-25 02:03:19
Santacruz,5.44,22,65.69,17.78,2024-11-25 02:03:24
Prabhadevi,5.94,36,39.43,11.29,2024-11-25 02:03:29
Bandra,-8.64,56,43.09,17.63,2024-11-25 02:03:34
Prabhadevi,25.13,37,63.6,17.64,2024-11-25 02:03:39
Thane,13.69,55,98.3,4.74,2024-11-25 02:03:44
Kandivali,-7.91,66,121.99,8.76,2024-11-25 02:03:49
Khar,3.79,45,6.14,9.9,2024-11-25 02:03:54
Ghatkopar,4.86,42,164.38,10.69,2024-11-25 02:03:59
Borivali,34.99,53,176.47,0.6,2024-11-25 02:04:04
Kandivali West,7.77,71,7.81,5.77,2024-11-25 02:04:09
Vashi,-2.27,39,105.45,8.79,2024-11-25 02:04:14
Kandivali,32.27,30,73.49,16.89,2024-11-25 02:04:19
Worli,-8.44,68,169.36,1.85,2024-11-25 02:04:24
Marine Drive,24.24,39,3.42,17.87,2024-11-25 02:04:29
Parel,-0.95,61,60.61,6.64,2024-11-25 02:04:34
Jogeshwari,20.46,46,167.8,16.81,2024-11-25 02:04:39
Kandivali East,-9.0,28,23.23,1.2,2024-11-25 02:04:44
Parel,-7.15,73,94.69,12.88,2024-11-25 02:04:49
Versova,31.76,85,153.26,4.82,2024-11-25 02:04:54
Vashi,28.49,27,163.45,15.84,2024-11-25 02:04:59
Versova,36.09,39,173.65,12.0,2024-11-25 02:05:04
Kandivali East,2.28,39,126.14,8.76,2024-11-25 02:05:09
Khar,28.66,97,198.68,18.43,2024-11-25 02:05:14
Versova,32.39,71,16.23,10.3,2024-11-25 02:05:19
Andheri,25.33,78,183.17,15.97,2024-11-25 02:05:24
Marine Drive,25.97,81,45.11,17.46,2024-11-25 02:05:29
Parel,-6.43,47,36.24,6.24,2024-11-25 02:05:34
Thane,11.21,45,131.24,8.41,2024-11-25 02:05:39
Colaba,18.52,45,164.7,5.72,2024-11-25 02:05:44
Colaba,-3.54,38,180.09,9.01,2024-11-25 02:05:49
Sion,8.95,81,43.77,4.65,2024-11-25 02:05:54
Nariman Point,1.97,89,185.78,4.03,2024-11-25 02:05:59
Bandra,36.3,41,125.38,18.54,2024-11-25 02:06:04
Prabhadevi,4.9,80,73.15,2.24,2024-11-25 02:06:09
Ghatkopar,30.88,24,9.73,2.25,2024-11-25 02:06:14
Bhayandar,34.01,38,105.68,7.05,2024-11-25 02:06:19
Kandivali,19.37,77,62.37,19.62,2024-11-25 02:06:24
Kandivali West,37.74,74,57.06,16.57,2024-11-25 02:06:29
Santacruz,21.31,52,175.21,15.06,2024-11-25 02:06:34
Malad,30.1,64,113.1,15.48,2024-11-25 02:06:39
Santacruz,10.59,56,135.36,7.22,2024-11-25 02:06:44
