location,vehicle_count,average_speed,congestion_level,timestamp
Ghatkopar,642,43.44,Moderate,2024-11-25 01:21:57
Worli,413,62.16,Low,2024-11-25 01:22:02
Parel,383,75.1,Low,2024-11-25 01:22:07
Sion,281,44.85,Moderate,2024-11-25 01:22:12
Bandra,746,36.62,Low,2024-11-25 01:22:17
Borivali,372,78.56,High,2024-11-25 01:22:22
Jogeshwari,338,62.31,High,2024-11-25 01:22:27
Bhayandar,150,55.97,High,2024-11-25 01:22:32
Kandivali,445,84.44,Low,2024-11-25 01:22:37
Parel,702,80.89,Low,2024-11-25 01:22:42
Saki Naka,242,90.5,Moderate,2024-11-25 01:22:47
Dahisar,988,53.44,Low,2024-11-25 01:22:52
Kandivali,811,94.79,Low,2024-11-25 01:22:57
Jogeshwari,705,91.29,Moderate,2024-11-25 01:23:02
Dahisar,955,28.22,Moderate,2024-11-25 01:23:07
Nariman Point,906,95.89,Moderate,2024-11-25 01:23:12
Mulund,933,63.46,Low,2024-11-25 01:23:17
Prabhadevi,126,65.0,High,2024-11-25 01:23:22
Santacruz,72,78.08,High,2024-11-25 01:23:27
Chembur,586,85.51,High,2024-11-25 01:23:32
Parel,663,74.82,High,2024-11-25 01:23:37
Saki Naka,96,67.9,Moderate,2024-11-25 01:23:42
Bhayandar,506,26.71,Moderate,2024-11-25 01:23:47
Vile Parle,810,91.63,Low,2024-11-25 01:23:52
Santacruz,329,38.67,Low,2024-11-25 01:23:57
Ghatkopar,154,86.73,High,2024-11-25 01:24:02
Prabhadevi,723,86.31,Moderate,2024-11-25 01:24:07
Marine Drive,735,48.74,Moderate,2024-11-25 01:24:12
Jogeshwari,79,75.21,Moderate,2024-11-25 01:24:17
Worli,345,45.84,Moderate,2024-11-25 01:24:22
Mahalaxmi,749,58.04,Moderate,2024-11-25 01:24:27
Jogeshwari,246,99.06,Moderate,2024-11-25 01:24:32
Vile Parle,795,83.22,Low,2024-11-25 01:24:37
Santacruz,375,63.57,Low,2024-11-25 01:24:42
Vile Parle,630,41.32,High,2024-11-25 01:24:47
Matunga,850,20.94,High,2024-11-25 01:24:52
Kandivali West,729,71.93,Low,2024-11-25 01:24:57
Dadar,882,40.29,Moderate,2024-11-25 01:25:02
Dadar,770,89.53,Low,2024-11-25 01:25:07
Worli,631,57.43,High,2024-11-25 01:25:12
Khar,96,58.98,Moderate,2024-11-25 01:25:17
Khar,877,52.58,High,2024-11-25 01:25:22
Mahalaxmi,849,24.62,High,2024-11-25 01:25:27
Kandivali,377,41.42,Low,2024-11-25 01:25:32
Nariman Point,143,57.74,Moderate,2024-11-25 01:25:37
Sion,429,56.44,Low,2024-11-25 01:25:42
Saki Naka,194,67.47,Low,2024-11-25 01:25:47
Mahalaxmi,735,37.64,Low,2024-11-25 01:25:52
Dahisar,831,50.12,Moderate,2024-11-25 01:25:57
Sion,682,81.18,High,2024-11-25 01:26:02
Kandivali,378,83.13,Low,2024-11-25 01:26:07
Mulund,416,45.61,Moderate,2024-11-25 01:26:12
Vile Parle,698,89.84,High,2024-11-25 01:26:17
Malad,127,51.19,Low,2024-11-25 01:26:22
Vashi,67,62.92,High,2024-11-25 01:26:27
Prabhadevi,800,49.38,Low,2024-11-25 01:26:32
Sion,261,63.14,Moderate,2024-11-25 01:26:37
Dahisar,573,36.37,Low,2024-11-25 01:26:42
Parel,642,70.19,High,2024-11-25 01:26:47
Matunga,293,29.73,High,2024-11-25 01:26:52
Chembur,659,70.27,High,2024-11-25 01:26:57
Dahisar,594,55.1,High,2024-11-25 01:27:02
Malad,750,63.75,Moderate,2024-11-25 01:27:07
Prabhadevi,734,98.4,High,2024-11-25 01:27:12
Andheri,889,95.99,High,2024-11-25 01:27:17
Dahisar,802,96.64,High,2024-11-25 01:27:22
Jogeshwari,942,26.32,Low,2024-11-25 01:27:27
Khar,552,35.68,Moderate,2024-11-25 01:27:33
Sion,246,84.71,Low,2024-11-25 01:27:38
Dadar,371,70.43,High,2024-11-25 01:27:43
Dadar,69,35.83,Low,2024-11-25 01:27:48
Vashi,787,23.89,Moderate,2024-11-25 01:27:53
Dahisar,270,50.55,Low,2024-11-25 01:27:58
Kurla,991,89.65,Moderate,2024-11-25 01:28:03
Worli,247,37.08,Moderate,2024-11-25 01:28:08
Kurla,464,99.76,Moderate,2024-11-25 01:28:13
Borivali,850,96.34,Low,2024-11-25 01:28:18
Khar,169,80.63,High,2024-11-25 01:28:23
Versova,158,87.32,Low,2024-11-25 01:28:28
Lower Parel,780,50.72,Moderate,2024-11-25 01:28:33
Colaba,454,41.26,Low,2024-11-25 01:28:38
Sion,793,61.23,Moderate,2024-11-25 01:28:43
Bandra,230,35.78,High,2024-11-25 01:28:48
Jogeshwari,956,30.91,High,2024-11-25 01:28:53
Khar,358,72.01,Moderate,2024-11-25 01:28:58
Kurla,976,81.41,High,2024-11-25 01:29:03
Lower Parel,322,52.73,Moderate,2024-11-25 01:29:08
Parel,422,29.98,Moderate,2024-11-25 01:29:13
Versova,390,90.66,High,2024-11-25 01:29:18
Bhayandar,263,66.44,Low,2024-11-25 01:29:23
Kandivali,723,80.45,Moderate,2024-11-25 01:29:28
Vile Parle,179,93.6,Moderate,2024-11-25 01:29:33
Versova,721,49.25,High,2024-11-25 01:29:38
Sion,131,99.86,Low,2024-11-25 01:29:43
Vile Parle,946,79.94,High,2024-11-25 01:29:48
Bandra,855,31.01,High,2024-11-25 01:29:53
Versova,206,59.97,Low,2024-11-25 01:29:58
Andheri,150,27.71,Low,2024-11-25 01:30:03
Bhayandar,885,64.78,Moderate,2024-11-25 01:30:08
Kandivali West,604,79.92,Low,2024-11-25 01:30:13
Chembur,657,92.51,Moderate,2024-11-25 01:30:18
Chembur,550,76.32,High,2024-11-25 01:30:23
Kandivali East,982,39.54,Moderate,2024-11-25 01:30:28
Bhayandar,216,90.67,Moderate,2024-11-25 01:30:33
Santacruz,316,54.81,Moderate,2024-11-25 01:30:38
Prabhadevi,582,67.61,High,2024-11-25 01:30:43
Kandivali,86,96.65,Low,2024-11-25 01:30:48
Ghatkopar,542,90.67,High,2024-11-25 01:30:53
Kandivali East,958,50.74,Moderate,2024-11-25 01:30:58
Kandivali,976,93.83,Low,2024-11-25 01:31:03
Bhayandar,419,51.41,Moderate,2024-11-25 01:31:08
Worli,298,36.07,Moderate,2024-11-25 01:31:13
Dahisar,191,43.78,Low,2024-11-25 01:31:18
Kandivali West,517,95.87,Low,2024-11-25 01:31:23
Jogeshwari,740,42.82,Low,2024-11-25 01:31:28
Lower Parel,360,92.18,Moderate,2024-11-25 01:31:33
Khar,923,43.6,Moderate,2024-11-25 01:31:38
Andheri,419,94.68,High,2024-11-25 01:31:43
Marine Drive,858,32.83,High,2024-11-25 01:31:48
Lower Parel,698,95.11,Moderate,2024-11-25 01:31:53
Chembur,337,32.38,Low,2024-11-25 01:31:58
Mulund,613,90.78,Low,2024-11-25 01:32:03
Mahalaxmi,965,92.8,High,2024-11-25 01:32:08
Worli,651,55.1,Moderate,2024-11-25 01:32:13
Dahisar,116,69.98,Low,2024-11-25 01:32:18
Bandra,430,98.74,Low,2024-11-25 01:32:23
Bhayandar,211,35.02,High,2024-11-25 01:32:28
Vashi,791,72.95,High,2024-11-25 01:32:33
Vashi,827,55.02,Moderate,2024-11-25 01:32:38
Versova,129,94.93,Moderate,2024-11-25 01:32:43
Parel,80,78.11,Moderate,2024-11-25 01:32:48
Vile Parle,242,22.7,High,2024-11-25 01:32:53
Borivali,924,27.84,High,2024-11-25 01:32:58
Marine Drive,292,55.66,High,2024-11-25 01:33:03
Marine Drive,465,79.98,High,2024-11-25 01:33:08
Jogeshwari,917,29.74,High,2024-11-25 01:33:13
Vile Parle,442,51.73,High,2024-11-25 01:33:18
Malad,736,37.55,High,2024-11-25 01:33:23
Nariman Point,159,20.8,Low,2024-11-25 01:33:28
Ghatkopar,311,58.83,Moderate,2024-11-25 01:33:33
Marine Drive,390,40.76,Low,2024-11-25 01:33:38
Borivali,668,60.32,Low,2024-11-25 01:33:43
Versova,758,73.96,Moderate,2024-11-25 01:33:48
Chembur,446,85.11,High,2024-11-25 01:33:53
Lower Parel,522,85.19,Moderate,2024-11-25 01:33:58
Jogeshwari,420,60.07,Moderate,2024-11-25 01:34:03
Sion,303,24.49,Moderate,2024-11-25 01:34:08
Thane,202,52.38,Low,2024-11-25 01:34:13
Sion,476,73.28,High,2024-11-25 01:34:18
Bandra,425,98.62,High,2024-11-25 01:34:23
Nariman Point,164,64.15,Moderate,2024-11-25 01:34:28
Parel,832,33.32,Moderate,2024-11-25 01:34:33
Chembur,839,41.87,Low,2024-11-25 01:34:38
Khar,703,74.93,Moderate,2024-11-25 01:34:43
Mahalaxmi,367,88.16,High,2024-11-25 01:34:48
Jogeshwari,969,46.88,High,2024-11-25 01:34:53
Borivali,543,92.03,High,2024-11-25 01:34:58
Thane,834,28.35,Low,2024-11-25 01:35:03
Worli,966,38.05,Low,2024-11-25 01:35:08
Kandivali East,842,62.12,High,2024-11-25 01:35:13
Kandivali West,749,80.2,High,2024-11-25 01:35:18
Kurla,525,75.58,Low,2024-11-25 01:35:23
Bandra,427,39.17,High,2024-11-25 01:35:28
Vile Parle,976,23.73,Moderate,2024-11-25 01:35:33
Khar,149,30.49,Low,2024-11-25 01:35:38
Colaba,771,69.0,High,2024-11-25 01:35:43
Vile Parle,954,35.52,Low,2024-11-25 01:35:48
Jogeshwari,922,45.55,High,2024-11-25 01:35:53
Sion,867,25.56,High,2024-11-25 01:35:58
Mahalaxmi,608,91.21,High,2024-11-25 01:36:03
Prabhadevi,634,24.71,Moderate,2024-11-25 01:36:08
Parel,313,76.19,Moderate,2024-11-25 01:36:13
Worli,187,77.8,Moderate,2024-11-25 01:36:18
Bhayandar,854,44.36,High,2024-11-25 01:36:23
Versova,920,84.37,Moderate,2024-11-25 01:36:28
Dahisar,960,34.75,High,2024-11-25 01:36:33
Dadar,548,82.75,High,2024-11-25 01:36:38
Saki Naka,323,98.86,High,2024-11-25 01:36:43
Santacruz,151,32.32,Moderate,2024-11-25 01:36:48
Chembur,308,87.6,Moderate,2024-11-25 01:36:53
Borivali,532,48.12,High,2024-11-25 01:36:58
Dadar,735,71.39,High,2024-11-25 01:37:03
Malad,906,78.36,High,2024-11-25 01:37:08
Colaba,804,51.37,Moderate,2024-11-25 01:37:13
Borivali,427,40.71,Moderate,2024-11-25 01:37:18
Ghatkopar,242,59.23,High,2024-11-25 01:37:23
Kandivali East,133,81.79,High,2024-11-25 01:37:28
Santacruz,687,56.35,Low,2024-11-25 01:37:33
Chembur,912,60.25,Low,2024-11-25 01:37:38
Vashi,862,95.16,Low,2024-11-25 01:37:43
Sion,544,79.08,Low,2024-11-25 01:37:48
Versova,821,48.15,Low,2024-11-25 01:37:53
Dadar,105,50.08,Moderate,2024-11-25 01:37:58
Vashi,139,87.61,Moderate,2024-11-25 01:38:03
Prabhadevi,926,69.96,High,2024-11-25 01:38:08
Kandivali East,731,49.89,High,2024-11-25 01:38:13
Parel,335,97.69,Moderate,2024-11-25 01:38:18
Ghatkopar,875,91.39,Low,2024-11-25 01:38:23
Jogeshwari,717,76.14,Moderate,2024-11-25 01:38:28
Santacruz,278,78.16,Moderate,2024-11-25 01:38:33
Santacruz,634,28.67,High,2024-11-25 01:38:38
Kandivali,72,22.25,Moderate,2024-11-25 01:38:43
Saki Naka,886,29.0,Moderate,2024-11-25 01:38:48
Khar,647,21.6,Low,2024-11-25 01:38:53
Jogeshwari,607,49.05,Moderate,2024-11-25 01:38:58
Thane,915,84.82,High,2024-11-25 01:39:03
Nariman Point,802,96.18,Moderate,2024-11-25 01:39:08
Chembur,726,40.51,High,2024-11-25 01:39:13
Khar,633,67.91,High,2024-11-25 01:39:18
Jogeshwari,469,25.15,High,2024-11-25 01:39:23
Mahalaxmi,96,88.73,Low,2024-11-25 01:39:28
Mahalaxmi,824,75.36,High,2024-11-25 01:39:33
Dadar,446,87.8,Low,2024-11-25 01:39:38
Dahisar,607,40.56,Low,2024-11-25 01:39:43
Thane,773,81.67,Moderate,2024-11-25 01:39:48
Colaba,435,31.57,Moderate,2024-11-25 01:39:53
Versova,934,83.43,Low,2024-11-25 01:39:58
Borivali,347,47.9,Low,2024-11-25 01:40:03
Versova,219,59.35,Moderate,2024-11-25 01:40:08
Ghatkopar,223,51.07,High,2024-11-25 01:40:13
Prabhadevi,242,27.2,Moderate,2024-11-25 01:40:18
Vashi,927,25.66,Low,2024-11-25 01:40:23
Borivali,853,25.46,Moderate,2024-11-25 01:40:28
Santacruz,913,24.64,Moderate,2024-11-25 01:40:33
Bandra,792,42.48,Moderate,2024-11-25 01:40:38
Andheri,55,45.05,Moderate,2024-11-25 01:40:43
Malad,224,42.98,Moderate,2024-11-25 01:40:48
Nariman Point,292,81.13,Moderate,2024-11-25 01:40:53
Ghatkopar,358,83.96,Low,2024-11-25 01:40:58
Bandra,738,31.46,Moderate,2024-11-25 01:41:03
Nariman Point,315,48.51,Moderate,2024-11-25 01:41:08
Worli,774,24.52,High,2024-11-25 01:41:13
Jogeshwari,245,30.36,Moderate,2024-11-25 01:41:18
Borivali,898,54.18,Low,2024-11-25 01:41:23
Versova,108,59.79,High,2024-11-25 01:41:28
Dadar,321,92.81,High,2024-11-25 01:41:33
Ghatkopar,194,69.46,Low,2024-11-25 01:41:38
Marine Drive,890,51.02,Low,2024-11-25 01:41:43
Khar,554,98.63,Moderate,2024-11-25 01:41:48
Borivali,194,80.9,Moderate,2024-11-25 01:41:53
Parel,326,52.93,Low,2024-11-25 01:41:58
Mulund,279,67.99,High,2024-11-25 01:42:03
Chembur,233,94.62,High,2024-11-25 01:42:08
Kandivali,368,34.58,High,2024-11-25 01:42:13
Nariman Point,699,86.3,High,2024-11-25 01:42:18
Marine Drive,213,55.3,High,2024-11-25 01:42:23
Matunga,381,83.14,High,2024-11-25 01:42:28
Ghatkopar,58,69.89,Low,2024-11-25 01:42:33
Borivali,892,41.21,Moderate,2024-11-25 01:42:38
Nariman Point,737,96.03,Moderate,2024-11-25 01:42:43
Thane,767,97.01,Low,2024-11-25 01:42:48
Dadar,169,61.41,High,2024-11-25 01:42:53
Colaba,65,29.3,Low,2024-11-25 01:42:58
Matunga,357,46.33,Low,2024-11-25 01:43:03
Versova,469,32.82,High,2024-11-25 01:43:08
Matunga,548,92.44,High,2024-11-25 01:43:13
Versova,743,73.66,High,2024-11-25 01:43:18
Dadar,719,50.26,Moderate,2024-11-25 01:43:23
Saki Naka,267,93.53,Moderate,2024-11-25 01:43:28
Mulund,74,30.5,High,2024-11-25 01:43:33
Kurla,105,52.43,High,2024-11-25 01:43:38
Dadar,439,67.35,Low,2024-11-25 01:43:43
Borivali,567,89.73,High,2024-11-25 01:43:48
Prabhadevi,69,62.77,Low,2024-11-25 01:43:53
Matunga,748,52.08,Low,2024-11-25 01:43:58
Worli,815,22.76,Moderate,2024-11-25 01:44:03
Vashi,365,89.75,High,2024-11-25 01:44:08
Versova,95,86.06,Low,2024-11-25 01:44:13
Worli,386,97.8,High,2024-11-25 01:44:18
Dahisar,586,22.2,High,2024-11-25 01:44:23
Dahisar,320,83.01,Low,2024-11-25 01:44:28
Dadar,798,23.63,High,2024-11-25 01:44:33
Ghatkopar,666,93.5,High,2024-11-25 01:44:38
Marine Drive,64,77.6,High,2024-11-25 01:44:43
Saki Naka,237,78.64,High,2024-11-25 01:44:48
Khar,882,32.31,Moderate,2024-11-25 01:44:53
Sion,703,60.48,Moderate,2024-11-25 01:44:58
Kandivali West,731,23.5,High,2024-11-25 01:45:03
Nariman Point,753,94.22,High,2024-11-25 01:45:08
Parel,971,22.34,High,2024-11-25 01:45:13
Colaba,703,69.13,High,2024-11-25 01:45:18
Marine Drive,136,58.67,Moderate,2024-11-25 01:45:23
Khar,902,48.86,Moderate,2024-11-25 01:45:28
Santacruz,223,68.15,Low,2024-11-25 01:45:33
Versova,638,95.36,Low,2024-11-25 01:45:38
Kandivali West,277,30.32,Low,2024-11-25 01:45:43
Colaba,832,80.5,Moderate,2024-11-25 01:45:48
Lower Parel,730,51.31,Low,2024-11-25 01:45:53
Kandivali East,629,35.78,Low,2024-11-25 01:45:58
Ghatkopar,59,46.6,Low,2024-11-25 01:46:03
Dadar,304,87.25,High,2024-11-25 01:46:08
Mahalaxmi,369,27.48,Low,2024-11-25 01:46:13
Nariman Point,866,27.88,High,2024-11-25 01:46:18
Prabhadevi,987,85.12,Low,2024-11-25 01:46:23
Saki Naka,693,50.67,High,2024-11-25 01:46:28
Bandra,797,21.37,Moderate,2024-11-25 01:46:33
Thane,463,70.86,Moderate,2024-11-25 01:46:38
Ghatkopar,854,40.58,Moderate,2024-11-25 01:46:43
Vashi,301,26.22,Moderate,2024-11-25 01:46:48
Matunga,387,90.7,Moderate,2024-11-25 01:46:53
Andheri,118,44.85,Moderate,2024-11-25 01:46:58
Ghatkopar,898,36.92,High,2024-11-25 01:47:03
Khar,380,95.05,Moderate,2024-11-25 01:47:08
Dahisar,341,33.62,High,2024-11-25 01:47:13
Marine Drive,83,85.79,Moderate,2024-11-25 01:47:18
Jogeshwari,780,43.76,Low,2024-11-25 01:47:23
Kandivali West,363,23.69,High,2024-11-25 01:47:28
Santacruz,446,30.73,Low,2024-11-25 01:47:33
Dahisar,361,55.88,Low,2024-11-25 01:47:38
Kandivali East,90,91.7,Moderate,2024-11-25 01:47:43
Versova,341,37.04,Moderate,2024-11-25 01:47:48
Marine Drive,858,36.82,High,2024-11-25 01:47:53
Worli,536,80.37,Moderate,2024-11-25 01:47:58
Mulund,217,71.06,High,2024-11-25 01:48:03
Chembur,340,79.31,Low,2024-11-25 01:48:08
Jogeshwari,464,89.7,Low,2024-11-25 01:48:13
Borivali,349,65.31,High,2024-11-25 01:48:18
Thane,330,79.58,Moderate,2024-11-25 01:48:23
Kurla,885,61.14,Moderate,2024-11-25 01:48:28
Dahisar,108,20.03,Moderate,2024-11-25 01:48:33
Bhayandar,992,78.4,Moderate,2024-11-25 01:48:38
Kandivali West,864,37.16,Moderate,2024-11-25 01:48:43
Mahalaxmi,761,35.21,Moderate,2024-11-25 01:48:48
Lower Parel,504,47.01,Low,2024-11-25 01:48:53
Saki Naka,965,73.51,Low,2024-11-25 01:48:58
Dadar,904,48.63,Moderate,2024-11-25 01:49:03
Lower Parel,873,80.51,Moderate,2024-11-25 01:49:08
Mulund,773,58.25,High,2024-11-25 01:49:13
Marine Drive,719,95.26,High,2024-11-25 01:49:18
Santacruz,573,63.7,Low,2024-11-25 01:49:23
Sion,531,76.97,Moderate,2024-11-25 01:49:28
Parel,186,94.19,Low,2024-11-25 01:49:33
Jogeshwari,165,45.91,High,2024-11-25 01:49:38
Dadar,510,48.47,Low,2024-11-25 01:49:43
Jogeshwari,300,77.06,High,2024-11-25 01:49:48
Bandra,540,93.73,High,2024-11-25 01:49:53
Santacruz,441,80.39,Low,2024-11-25 01:49:58
Nariman Point,715,29.45,Low,2024-11-25 01:50:03
Sion,455,68.69,High,2024-11-25 01:50:08
Santacruz,463,37.85,Moderate,2024-11-25 01:50:13
Kandivali,627,81.94,Moderate,2024-11-25 01:50:18
Ghatkopar,68,71.34,Low,2024-11-25 01:50:23
Vile Parle,532,92.58,High,2024-11-25 01:50:28
Thane,393,29.62,High,2024-11-25 01:50:33
Marine Drive,470,64.32,Moderate,2024-11-25 01:50:38
Thane,149,43.61,Low,2024-11-25 01:50:43
Marine Drive,882,30.23,High,2024-11-25 01:50:48
Kurla,404,78.89,Moderate,2024-11-25 01:50:53
Kandivali West,572,75.49,Moderate,2024-11-25 01:50:58
Kurla,440,73.78,High,2024-11-25 01:51:03
Kandivali West,737,35.65,Moderate,2024-11-25 01:51:08
Malad,574,49.8,Low,2024-11-25 01:51:13
Marine Drive,284,71.6,High,2024-11-25 01:51:18
Dahisar,852,68.0,Low,2024-11-25 01:51:23
Prabhadevi,463,86.63,Low,2024-11-25 01:51:28
Versova,316,39.28,Moderate,2024-11-25 01:51:33
Mulund,299,92.48,Low,2024-11-25 01:51:38
Colaba,319,96.26,Low,2024-11-25 01:51:43
Khar,992,60.38,High,2024-11-25 01:51:48
Parel,282,51.37,High,2024-11-25 01:51:53
Worli,644,23.55,Low,2024-11-25 01:51:58
Jogeshwari,381,39.6,Moderate,2024-11-25 01:52:03
Malad,267,72.77,High,2024-11-25 01:52:08
Lower Parel,138,76.2,High,2024-11-25 01:52:14
Khar,901,54.06,Low,2024-11-25 01:52:19
Lower Parel,529,84.54,Low,2024-11-25 01:52:24
Sion,831,58.51,Low,2024-11-25 01:52:29
Ghatkopar,687,82.91,High,2024-11-25 01:52:34
Dadar,520,54.02,High,2024-11-25 01:52:39
Santacruz,215,59.63,Moderate,2024-11-25 01:52:44
Worli,422,41.62,Moderate,2024-11-25 01:52:49
Worli,77,27.31,High,2024-11-25 01:52:54
Parel,456,27.07,Moderate,2024-11-25 01:52:59
Dahisar,79,69.49,High,2024-11-25 01:53:04
Dahisar,374,91.56,Low,2024-11-25 01:53:09
Vile Parle,285,80.57,Low,2024-11-25 01:53:14
Jogeshwari,629,69.91,High,2024-11-25 01:53:19
Mahalaxmi,385,96.36,Moderate,2024-11-25 01:53:24
Mulund,255,51.25,Low,2024-11-25 01:53:29
Prabhadevi,92,26.08,High,2024-11-25 01:53:34
Malad,219,58.61,Low,2024-11-25 01:53:39
Chembur,868,24.31,High,2024-11-25 01:53:44
Dadar,891,28.81,High,2024-11-25 01:53:49
Ghatkopar,802,71.9,Low,2024-11-25 01:53:54
Sion,246,80.27,Moderate,2024-11-25 01:53:59
Vile Parle,122,58.74,Low,2024-11-25 01:54:04
Kandivali East,665,91.84,Moderate,2024-11-25 01:54:09
Vile Parle,982,92.22,High,2024-11-25 01:54:14
Bhayandar,874,98.64,Moderate,2024-11-25 01:54:19
Vashi,527,32.91,Low,2024-11-25 01:54:24
Nariman Point,404,81.37,High,2024-11-25 01:54:29
Chembur,976,52.71,Moderate,2024-11-25 01:54:34
Prabhadevi,130,54.17,Low,2024-11-25 01:54:39
Jogeshwari,264,84.22,High,2024-11-25 01:54:44
Kandivali,264,35.41,Low,2024-11-25 01:54:49
Bhayandar,663,22.43,Moderate,2024-11-25 01:54:54
Thane,707,72.48,High,2024-11-25 01:54:59
Dahisar,960,78.67,Moderate,2024-11-25 01:55:04
Dahisar,377,37.09,Low,2024-11-25 01:55:09
Mahalaxmi,991,48.96,Moderate,2024-11-25 01:55:14
Mahalaxmi,302,67.33,Moderate,2024-11-25 01:55:19
Sion,744,89.87,Moderate,2024-11-25 01:55:24
Kurla,867,62.6,Moderate,2024-11-25 01:55:29
Nariman Point,888,82.67,Low,2024-11-25 01:55:34
Malad,740,27.77,Moderate,2024-11-25 01:55:39
Vashi,181,25.21,High,2024-11-25 01:55:44
Saki Naka,938,27.6,High,2024-11-25 01:55:49
Versova,326,82.55,Low,2024-11-25 01:55:54
Mahalaxmi,393,49.95,High,2024-11-25 01:55:59
Sion,363,59.4,High,2024-11-25 01:56:04
Vile Parle,115,24.92,High,2024-11-25 01:56:09
Marine Drive,998,66.71,Moderate,2024-11-25 01:56:14
Thane,564,92.49,Low,2024-11-25 01:56:19
Saki Naka,102,62.49,Low,2024-11-25 01:56:24
Worli,916,89.06,Moderate,2024-11-25 01:56:29
Ghatkopar,817,32.29,Moderate,2024-11-25 01:56:34
Prabhadevi,589,38.07,Low,2024-11-25 01:56:39
Sion,590,61.63,Low,2024-11-25 01:56:44
Borivali,842,51.28,Low,2024-11-25 01:56:49
Parel,829,72.75,Moderate,2024-11-25 01:56:54
Mulund,446,28.55,High,2024-11-25 01:56:59
Jogeshwari,750,79.28,Moderate,2024-11-25 01:57:04
Vashi,632,61.13,Moderate,2024-11-25 01:57:09
Dadar,234,67.64,Low,2024-11-25 01:57:14
Thane,513,92.67,Moderate,2024-11-25 01:57:19
Marine Drive,602,65.02,Moderate,2024-11-25 01:57:24
Marine Drive,471,81.17,High,2024-11-25 01:57:29
Andheri,759,68.94,High,2024-11-25 01:57:34
Jogeshwari,530,49.81,Moderate,2024-11-25 01:57:39
Marine Drive,366,73.07,Low,2024-11-25 01:57:44
Versova,865,74.43,High,2024-11-25 01:57:49
Nariman Point,279,82.03,Low,2024-11-25 01:57:54
Vile Parle,587,33.98,Moderate,2024-11-25 01:57:59
Jogeshwari,267,23.52,Moderate,2024-11-25 01:58:04
Kandivali West,975,78.65,Low,2024-11-25 01:58:09
Andheri,316,77.55,Low,2024-11-25 01:58:14
Parel,705,27.96,Moderate,2024-11-25 01:58:19
Nariman Point,502,80.76,Moderate,2024-11-25 01:58:24
Jogeshwari,749,55.95,Low,2024-11-25 01:58:29
Marine Drive,963,24.92,Low,2024-11-25 01:58:34
Marine Drive,308,53.48,Low,2024-11-25 01:58:39
Mulund,226,56.9,Moderate,2024-11-25 01:58:44
Mulund,589,30.65,High,2024-11-25 01:58:49
Malad,705,40.84,Moderate,2024-11-25 01:58:54
Borivali,841,27.43,Low,2024-11-25 01:58:59
Khar,321,88.56,Moderate,2024-11-25 01:59:04
Borivali,398,97.65,High,2024-11-25 01:59:09
Vashi,875,60.97,Low,2024-11-25 01:59:14
Chembur,376,88.93,High,2024-11-25 01:59:19
Dahisar,50,79.97,Moderate,2024-11-25 01:59:24
Sion,435,63.53,High,2024-11-25 01:59:29
Kandivali,548,68.94,Low,2024-11-25 01:59:34
Kurla,445,67.0,Moderate,2024-11-25 01:59:39
Khar,478,77.08,High,2024-11-25 01:59:44
Dahisar,546,56.29,Low,2024-11-25 01:59:49
Dadar,911,38.21,High,2024-11-25 01:59:54
Bhayandar,509,23.7,Moderate,2024-11-25 01:59:59
Khar,596,64.8,Low,2024-11-25 02:00:04
Worli,356,67.31,Low,2024-11-25 02:00:09
Worli,595,49.45,Moderate,2024-11-25 02:00:14
Marine Drive,447,31.62,High,2024-11-25 02:00:19
Bhayandar,401,23.18,Low,2024-11-25 02:00:24
Sion,597,29.69,Low,2024-11-25 02:00:29
Sion,815,87.34,High,2024-11-25 02:00:34
Matunga,179,79.3,Moderate,2024-11-25 02:00:39
Marine Drive,969,51.88,High,2024-11-25 02:00:44
Kurla,364,56.96,High,2024-11-25 02:00:49
Lower Parel,899,31.1,High,2024-11-25 02:00:54
Worli,968,50.06,Low,2024-11-25 02:00:59
Vashi,283,74.55,Low,2024-11-25 02:01:04
Kandivali East,452,85.85,Moderate,2024-11-25 02:01:09
Lower Parel,456,99.54,High,2024-11-25 02:01:14
Saki Naka,236,67.49,Low,2024-11-25 02:01:19
Saki Naka,271,20.73,High,2024-11-25 02:01:24
Marine Drive,84,70.25,Low,2024-11-25 02:01:29
Sion,115,79.51,Moderate,2024-11-25 02:01:34
Thane,59,34.74,Moderate,2024-11-25 02:01:39
Versova,389,99.48,High,2024-11-25 02:01:44
Khar,764,89.77,High,2024-11-25 02:01:49
Nariman Point,395,79.7,Moderate,2024-11-25 02:01:54
Marine Drive,720,76.06,Low,2024-11-25 02:01:59
Mulund,667,55.49,Moderate,2024-11-25 02:02:04
Dahisar,124,92.69,Low,2024-11-25 02:02:09
Borivali,884,91.53,Low,2024-11-25 02:02:14
Vashi,959,28.57,Moderate,2024-11-25 02:02:19
Ghatkopar,528,94.76,Moderate,2024-11-25 02:02:24
Matunga,803,71.06,Low,2024-11-25 02:02:29
Nariman Point,332,99.38,Moderate,2024-11-25 02:02:34
Andheri,992,93.77,High,2024-11-25 02:02:39
Bandra,385,22.67,Moderate,2024-11-25 02:02:44
Malad,698,40.09,High,2024-11-25 02:02:49
Marine Drive,866,61.79,Moderate,2024-11-25 02:02:54
Parel,777,94.13,Low,2024-11-25 02:02:59
Mahalaxmi,871,58.49,Moderate,2024-11-25 02:03:04
Worli,239,91.18,High,2024-11-25 02:03:09
Thane,667,49.39,Low,2024-11-25 02:03:14
